date,can skype video calls be recorded,google hangouts privacy
2011-01-01,28,28
2011-02-01,40,0
2011-03-01,52,0
2011-04-01,27,0
2011-05-01,27,0
2011-06-01,27,0
2011-07-01,27,27
2011-08-01,51,24
2011-09-01,50,24
2011-10-01,47,24
2011-11-01,36,24
2011-12-01,23,28
2012-01-01,29,33
2012-02-01,30,38
2012-03-01,42,42
2012-04-01,37,21
2012-05-01,21,21
2012-06-01,28,21
2012-07-01,31,21
2012-08-01,61,21
2012-09-01,61,25
2012-10-01,56,28
2012-11-01,28,19
2012-12-01,19,19
2013-01-01,34,17
2013-02-01,19,29
2013-03-01,59,17
2013-04-01,34,34
2013-05-01,58,67
2013-06-01,51,43
2013-07-01,34,39
2013-08-01,17,56
2013-09-01,16,16
2013-10-01,16,23
2013-11-01,16,48
2013-12-01,47,69
2014-01-01,15,49
2014-02-01,16,54
2014-03-01,24,66
2014-04-01,15,85
2014-05-01,38,36
2014-06-01,17,45
2014-07-01,33,38
2014-08-01,22,66
2014-09-01,39,53
2014-10-01,38,67
2014-11-01,38,31
2014-12-01,23,65
2015-01-01,14,71
2015-02-01,20,61
2015-03-01,28,33
2015-04-01,24,100
2015-05-01,28,51
2015-06-01,42,33
2015-07-01,14,63
2015-08-01,14,28
2015-09-01,27,34
2015-10-01,26,52
2015-11-01,53,33
2015-12-01,20,40
2016-01-01,19,38
2016-02-01,17,29
2016-03-01,18,51
2016-04-01,43,20
2016-05-01,24,12
2016-06-01,24,41
2016-07-01,12,62
2016-08-01,12,56
2016-09-01,32,32
2016-10-01,23,42
2016-11-01,11,57
2016-12-01,27,34
2017-01-01,18,29
