date,google hangouts notifications not working,google hangouts privacy
2011-01-01,0,28
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,27
2011-08-01,0,24
2011-09-01,0,24
2011-10-01,0,24
2011-11-01,0,24
2011-12-01,0,28
2012-01-01,0,33
2012-02-01,0,38
2012-03-01,0,42
2012-04-01,0,21
2012-05-01,0,21
2012-06-01,0,21
2012-07-01,0,21
2012-08-01,0,21
2012-09-01,0,25
2012-10-01,0,28
2012-11-01,0,19
2012-12-01,0,19
2013-01-01,17,17
2013-02-01,17,29
2013-03-01,17,17
2013-04-01,17,34
2013-05-01,50,67
2013-06-01,17,43
2013-07-01,17,39
2013-08-01,17,56
2013-09-01,28,16
2013-10-01,39,23
2013-11-01,53,48
2013-12-01,43,69
2014-01-01,35,49
2014-02-01,16,54
2014-03-01,15,66
2014-04-01,30,85
2014-05-01,41,36
2014-06-01,45,45
2014-07-01,25,38
2014-08-01,16,66
2014-09-01,47,53
2014-10-01,25,67
2014-11-01,39,31
2014-12-01,30,65
2015-01-01,35,71
2015-02-01,15,61
2015-03-01,28,33
2015-04-01,24,100
2015-05-01,37,51
2015-06-01,33,33
2015-07-01,21,63
2015-08-01,14,28
2015-09-01,41,34
2015-10-01,26,52
2015-11-01,44,33
2015-12-01,67,40
2016-01-01,51,38
2016-02-01,29,29
2016-03-01,16,51
2016-04-01,12,20
2016-05-01,28,12
2016-06-01,31,41
2016-07-01,25,62
2016-08-01,36,56
2016-09-01,28,32
2016-10-01,68,42
2016-11-01,34,57
2016-12-01,38,34
2017-01-01,21,29
