date,encrypt emails,how to encrypt emails
2011-01-01,39,16
2011-02-01,59,28
2011-03-01,53,22
2011-04-01,76,20
2011-05-01,62,25
2011-06-01,54,26
2011-07-01,67,22
2011-08-01,57,30
2011-09-01,64,21
2011-10-01,58,30
2011-11-01,50,19
2011-12-01,36,29
2012-01-01,38,20
2012-02-01,53,21
2012-03-01,81,18
2012-04-01,70,44
2012-05-01,60,31
2012-06-01,52,19
2012-07-01,66,30
2012-08-01,68,17
2012-09-01,51,29
2012-10-01,55,18
2012-11-01,64,24
2012-12-01,44,38
2013-01-01,42,16
2013-02-01,95,31
2013-03-01,75,26
2013-04-01,52,26
2013-05-01,62,27
2013-06-01,52,24
2013-07-01,89,44
2013-08-01,100,31
2013-09-01,69,29
2013-10-01,55,29
2013-11-01,59,37
2013-12-01,45,19
2014-01-01,78,28
2014-02-01,53,15
2014-03-01,71,39
2014-04-01,55,18
2014-05-01,69,37
2014-06-01,49,28
2014-07-01,67,27
2014-08-01,84,21
2014-09-01,76,26
2014-10-01,61,12
2014-11-01,100,34
2014-12-01,62,23
2015-01-01,56,22
2015-02-01,69,20
2015-03-01,47,13
2015-04-01,70,44
2015-05-01,60,29
2015-06-01,63,31
2015-07-01,61,34
2015-08-01,58,21
2015-09-01,67,25
2015-10-01,80,32
2015-11-01,49,20
2015-12-01,73,23
2016-01-01,62,33
2016-02-01,75,41
2016-03-01,88,34
2016-04-01,77,47
2016-05-01,66,39
2016-06-01,78,20
2016-07-01,62,32
2016-08-01,73,39
2016-09-01,81,29
2016-10-01,73,31
2016-11-01,95,36
2016-12-01,69,29
2017-01-01,81,44
