date,Is google hangouts encrypted,google hangouts privacy
2011-01-01,0,34
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,29
2011-11-01,0,29
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,0
2012-06-01,0,26
2012-07-01,0,26
2012-08-01,0,38
2012-09-01,0,0
2012-10-01,0,45
2012-11-01,0,23
2012-12-01,0,23
2013-01-01,0,21
2013-02-01,0,23
2013-03-01,0,20
2013-04-01,0,31
2013-05-01,0,61
2013-06-01,21,49
2013-07-01,21,34
2013-08-01,0,41
2013-09-01,40,30
2013-10-01,19,25
2013-11-01,0,64
2013-12-01,19,52
2014-01-01,0,84
2014-02-01,20,59
2014-03-01,18,100
2014-04-01,18,61
2014-05-01,19,56
2014-06-01,20,48
2014-07-01,20,33
2014-08-01,20,67
2014-09-01,38,45
2014-10-01,18,49
2014-11-01,19,31
2014-12-01,18,46
2015-01-01,17,75
2015-02-01,31,56
2015-03-01,34,45
2015-04-01,35,46
2015-05-01,17,62
2015-06-01,34,75
2015-07-01,0,62
2015-08-01,25,56
2015-09-01,16,55
2015-10-01,31,57
2015-11-01,24,54
2015-12-01,16,43
2016-01-01,15,51
2016-02-01,23,76
2016-03-01,21,52
2016-04-01,37,49
2016-05-01,34,24
2016-06-01,20,60
2016-07-01,15,50
2016-08-01,43,34
2016-09-01,24,39
2016-10-01,18,69
2016-11-01,41,42
2016-12-01,21,51
2017-01-01,26,48
