date,gmail sign out android
2011-01-01,8
2011-02-01,8
2011-03-01,13
2011-04-01,10
2011-05-01,14
2011-06-01,12
2011-07-01,17
2011-08-01,23
2011-09-01,15
2011-10-01,23
2011-11-01,18
2011-12-01,28
2012-01-01,27
2012-02-01,24
2012-03-01,26
2012-04-01,34
2012-05-01,25
2012-06-01,23
2012-07-01,33
2012-08-01,47
2012-09-01,43
2012-10-01,38
2012-11-01,32
2012-12-01,45
2013-01-01,50
2013-02-01,36
2013-03-01,51
2013-04-01,56
2013-05-01,66
2013-06-01,64
2013-07-01,70
2013-08-01,82
2013-09-01,65
2013-10-01,73
2013-11-01,82
2013-12-01,92
2014-01-01,87
2014-02-01,79
2014-03-01,83
2014-04-01,80
2014-05-01,93
2014-06-01,91
2014-07-01,98
2014-08-01,100
2014-09-01,93
2014-10-01,96
2014-11-01,95
2014-12-01,87
2015-01-01,82
2015-02-01,74
2015-03-01,84
2015-04-01,75
2015-05-01,72
2015-06-01,71
2015-07-01,72
2015-08-01,82
2015-09-01,71
2015-10-01,65
2015-11-01,57
2015-12-01,74
2016-01-01,78
2016-02-01,74
2016-03-01,68
2016-04-01,67
2016-05-01,85
2016-06-01,61
2016-07-01,87
2016-08-01,75
2016-09-01,75
2016-10-01,77
2016-11-01,72
2016-12-01,87
2017-01-01,72
