date,google account recovery
2011-01-01,4
2011-02-01,4
2011-03-01,4
2011-04-01,4
2011-05-01,4
2011-06-01,5
2011-07-01,5
2011-08-01,5
2011-09-01,6
2011-10-01,5
2011-11-01,5
2011-12-01,7
2012-01-01,8
2012-02-01,5
2012-03-01,6
2012-04-01,9
2012-05-01,9
2012-06-01,12
2012-07-01,14
2012-08-01,16
2012-09-01,19
2012-10-01,21
2012-11-01,23
2012-12-01,31
2013-01-01,27
2013-02-01,32
2013-03-01,32
2013-04-01,32
2013-05-01,37
2013-06-01,37
2013-07-01,38
2013-08-01,39
2013-09-01,42
2013-10-01,42
2013-11-01,48
2013-12-01,62
2014-01-01,54
2014-02-01,52
2014-03-01,52
2014-04-01,51
2014-05-01,54
2014-06-01,56
2014-07-01,65
2014-08-01,72
2014-09-01,72
2014-10-01,70
2014-11-01,81
2014-12-01,94
2015-01-01,80
2015-02-01,86
2015-03-01,82
2015-04-01,87
2015-05-01,89
2015-06-01,100
2015-07-01,100
2015-08-01,89
2015-09-01,76
2015-10-01,77
2015-11-01,71
2015-12-01,82
2016-01-01,73
2016-02-01,73
2016-03-01,73
2016-04-01,75
2016-05-01,70
2016-06-01,73
2016-07-01,76
2016-08-01,90
2016-09-01,83
2016-10-01,85
2016-11-01,79
2016-12-01,79
2017-01-01,80
