date,clear history android
2011-01-01,37
2011-02-01,30
2011-03-01,36
2011-04-01,35
2011-05-01,39
2011-06-01,41
2011-07-01,45
2011-08-01,51
2011-09-01,54
2011-10-01,50
2011-11-01,55
2011-12-01,64
2012-01-01,62
2012-02-01,53
2012-03-01,51
2012-04-01,50
2012-05-01,53
2012-06-01,68
2012-07-01,74
2012-08-01,83
2012-09-01,82
2012-10-01,79
2012-11-01,78
2012-12-01,84
2013-01-01,84
2013-02-01,75
2013-03-01,76
2013-04-01,75
2013-05-01,90
2013-06-01,100
2013-07-01,89
2013-08-01,87
2013-09-01,71
2013-10-01,66
2013-11-01,70
2013-12-01,85
2014-01-01,83
2014-02-01,79
2014-03-01,74
2014-04-01,80
2014-05-01,85
2014-06-01,78
2014-07-01,76
2014-08-01,74
2014-09-01,70
2014-10-01,70
2014-11-01,80
2014-12-01,74
2015-01-01,77
2015-02-01,69
2015-03-01,70
2015-04-01,68
2015-05-01,75
2015-06-01,83
2015-07-01,79
2015-08-01,92
2015-09-01,80
2015-10-01,78
2015-11-01,76
2015-12-01,90
2016-01-01,85
2016-02-01,86
2016-03-01,82
2016-04-01,87
2016-05-01,96
2016-06-01,95
2016-07-01,100
2016-08-01,91
2016-09-01,88
2016-10-01,89
2016-11-01,99
2016-12-01,86
2017-01-01,90
