date,google account homepage
2011-01-01,47
2011-02-01,49
2011-03-01,53
2011-04-01,45
2011-05-01,63
2011-06-01,78
2011-07-01,70
2011-08-01,81
2011-09-01,95
2011-10-01,92
2011-11-01,66
2011-12-01,88
2012-01-01,80
2012-02-01,79
2012-03-01,76
2012-04-01,61
2012-05-01,80
2012-06-01,80
2012-07-01,100
2012-08-01,90
2012-09-01,80
2012-10-01,83
2012-11-01,62
2012-12-01,92
2013-01-01,77
2013-02-01,81
2013-03-01,74
2013-04-01,71
2013-05-01,79
2013-06-01,68
2013-07-01,75
2013-08-01,81
2013-09-01,85
2013-10-01,85
2013-11-01,88
2013-12-01,82
2014-01-01,79
2014-02-01,81
2014-03-01,83
2014-04-01,74
2014-05-01,64
2014-06-01,77
2014-07-01,62
2014-08-01,73
2014-09-01,75
2014-10-01,74
2014-11-01,66
2014-12-01,75
2015-01-01,76
2015-02-01,67
2015-03-01,58
2015-04-01,58
2015-05-01,63
2015-06-01,45
2015-07-01,56
2015-08-01,52
2015-09-01,54
2015-10-01,50
2015-11-01,59
2015-12-01,51
2016-01-01,55
2016-02-01,44
2016-03-01,59
2016-04-01,54
2016-05-01,44
2016-06-01,57
2016-07-01,63
2016-08-01,63
2016-09-01,66
2016-10-01,48
2016-11-01,45
2016-12-01,44
2017-01-01,44
