date,delete account facebook
2011-01-01,87
2011-02-01,66
2011-03-01,51
2011-04-01,57
2011-05-01,56
2011-06-01,62
2011-07-01,67
2011-08-01,86
2011-09-01,92
2011-10-01,88
2011-11-01,98
2011-12-01,99
2012-01-01,96
2012-02-01,100
2012-03-01,97
2012-04-01,81
2012-05-01,81
2012-06-01,78
2012-07-01,76
2012-08-01,73
2012-09-01,70
2012-10-01,68
2012-11-01,68
2012-12-01,72
2013-01-01,67
2013-02-01,68
2013-03-01,68
2013-04-01,64
2013-05-01,58
2013-06-01,61
2013-07-01,68
2013-08-01,66
2013-09-01,58
2013-10-01,56
2013-11-01,59
2013-12-01,67
2014-01-01,62
2014-02-01,56
2014-03-01,57
2014-04-01,62
2014-05-01,63
2014-06-01,63
2014-07-01,62
2014-08-01,66
2014-09-01,62
2014-10-01,59
2014-11-01,59
2014-12-01,61
2015-01-01,64
2015-02-01,60
2015-03-01,59
2015-04-01,60
2015-05-01,58
2015-06-01,60
2015-07-01,65
2015-08-01,67
2015-09-01,61
2015-10-01,55
2015-11-01,55
2015-12-01,58
2016-01-01,64
2016-02-01,63
2016-03-01,60
2016-04-01,59
2016-05-01,59
2016-06-01,75
2016-07-01,78
2016-08-01,67
2016-09-01,66
2016-10-01,70
2016-11-01,82
2016-12-01,72
2017-01-01,74
