date,google account sign in
2011-01-01,9
2011-02-01,8
2011-03-01,9
2011-04-01,11
2011-05-01,11
2011-06-01,14
2011-07-01,21
2011-08-01,21
2011-09-01,18
2011-10-01,17
2011-11-01,24
2011-12-01,17
2012-01-01,16
2012-02-01,15
2012-03-01,20
2012-04-01,22
2012-05-01,14
2012-06-01,19
2012-07-01,25
2012-08-01,27
2012-09-01,20
2012-10-01,20
2012-11-01,25
2012-12-01,36
2013-01-01,28
2013-02-01,25
2013-03-01,29
2013-04-01,37
2013-05-01,33
2013-06-01,25
2013-07-01,30
2013-08-01,44
2013-09-01,38
2013-10-01,31
2013-11-01,33
2013-12-01,55
2014-01-01,52
2014-02-01,38
2014-03-01,37
2014-04-01,46
2014-05-01,48
2014-06-01,40
2014-07-01,41
2014-08-01,50
2014-09-01,54
2014-10-01,52
2014-11-01,44
2014-12-01,43
2015-01-01,57
2015-02-01,59
2015-03-01,55
2015-04-01,43
2015-05-01,52
2015-06-01,68
2015-07-01,69
2015-08-01,48
2015-09-01,54
2015-10-01,59
2015-11-01,73
2015-12-01,71
2016-01-01,63
2016-02-01,57
2016-03-01,58
2016-04-01,67
2016-05-01,76
2016-06-01,68
2016-07-01,75
2016-08-01,96
2016-09-01,82
2016-10-01,100
2016-11-01,82
2016-12-01,76
2017-01-01,85
