date,remove email account from android
2011-01-01,18
2011-02-01,11
2011-03-01,22
2011-04-01,8
2011-05-01,20
2011-06-01,23
2011-07-01,30
2011-08-01,23
2011-09-01,18
2011-10-01,24
2011-11-01,35
2011-12-01,49
2012-01-01,41
2012-02-01,27
2012-03-01,52
2012-04-01,45
2012-05-01,41
2012-06-01,57
2012-07-01,82
2012-08-01,31
2012-09-01,36
2012-10-01,26
2012-11-01,36
2012-12-01,40
2013-01-01,36
2013-02-01,35
2013-03-01,37
2013-04-01,41
2013-05-01,41
2013-06-01,36
2013-07-01,49
2013-08-01,35
2013-09-01,35
2013-10-01,34
2013-11-01,46
2013-12-01,44
2014-01-01,45
2014-02-01,52
2014-03-01,43
2014-04-01,65
2014-05-01,39
2014-06-01,51
2014-07-01,48
2014-08-01,50
2014-09-01,68
2014-10-01,52
2014-11-01,91
2014-12-01,61
2015-01-01,48
2015-02-01,43
2015-03-01,48
2015-04-01,60
2015-05-01,73
2015-06-01,67
2015-07-01,70
2015-08-01,77
2015-09-01,67
2015-10-01,75
2015-11-01,57
2015-12-01,90
2016-01-01,76
2016-02-01,75
2016-03-01,89
2016-04-01,65
2016-05-01,62
2016-06-01,75
2016-07-01,80
2016-08-01,76
2016-09-01,78
2016-10-01,77
2016-11-01,73
2016-12-01,100
2017-01-01,87
