date,gmail sign out shortcut
2011-01-01,19
2011-02-01,100
2011-03-01,27
2011-04-01,29
2011-05-01,54
2011-06-01,37
2011-07-01,27
2011-08-01,17
2011-09-01,23
2011-10-01,16
2011-11-01,24
2011-12-01,32
2012-01-01,15
2012-02-01,31
2012-03-01,24
2012-04-01,30
2012-05-01,14
2012-06-01,24
2012-07-01,28
2012-08-01,19
2012-09-01,14
2012-10-01,26
2012-11-01,13
2012-12-01,17
2013-01-01,19
2013-02-01,34
2013-03-01,27
2013-04-01,27
2013-05-01,23
2013-06-01,41
2013-07-01,11
2013-08-01,27
2013-09-01,22
2013-10-01,28
2013-11-01,48
2013-12-01,27
2014-01-01,13
2014-02-01,29
2014-03-01,49
2014-04-01,41
2014-05-01,24
2014-06-01,34
2014-07-01,33
2014-08-01,30
2014-09-01,27
2014-10-01,36
2014-11-01,31
2014-12-01,10
2015-01-01,42
2015-02-01,14
2015-03-01,25
2015-04-01,23
2015-05-01,28
2015-06-01,19
2015-07-01,19
2015-08-01,31
2015-09-01,15
2015-10-01,15
2015-11-01,9
2015-12-01,9
2016-01-01,26
2016-02-01,34
2016-03-01,19
2016-04-01,29
2016-05-01,37
2016-06-01,33
2016-07-01,11
2016-08-01,25
2016-09-01,19
2016-10-01,51
2016-11-01,39
2016-12-01,41
2017-01-01,58
