date,remove google account from chrome
2011-01-01,8
2011-02-01,11
2011-03-01,10
2011-04-01,5
2011-05-01,5
2011-06-01,10
2011-07-01,8
2011-08-01,14
2011-09-01,19
2011-10-01,11
2011-11-01,4
2011-12-01,13
2012-01-01,8
2012-02-01,17
2012-03-01,12
2012-04-01,12
2012-05-01,13
2012-06-01,28
2012-07-01,10
2012-08-01,27
2012-09-01,19
2012-10-01,9
2012-11-01,9
2012-12-01,18
2013-01-01,22
2013-02-01,27
2013-03-01,9
2013-04-01,14
2013-05-01,14
2013-06-01,13
2013-07-01,19
2013-08-01,25
2013-09-01,20
2013-10-01,28
2013-11-01,29
2013-12-01,22
2014-01-01,37
2014-02-01,42
2014-03-01,30
2014-04-01,35
2014-05-01,48
2014-06-01,50
2014-07-01,48
2014-08-01,46
2014-09-01,54
2014-10-01,38
2014-11-01,47
2014-12-01,55
2015-01-01,60
2015-02-01,56
2015-03-01,53
2015-04-01,66
2015-05-01,67
2015-06-01,55
2015-07-01,64
2015-08-01,75
2015-09-01,53
2015-10-01,73
2015-11-01,50
2015-12-01,58
2016-01-01,77
2016-02-01,74
2016-03-01,56
2016-04-01,55
2016-05-01,61
2016-06-01,60
2016-07-01,63
2016-08-01,76
2016-09-01,82
2016-10-01,75
2016-11-01,100
2016-12-01,69
2017-01-01,80
