date,how to delete a google account
2011-01-01,28
2011-02-01,26
2011-03-01,30
2011-04-01,28
2011-05-01,35
2011-06-01,45
2011-07-01,50
2011-08-01,48
2011-09-01,56
2011-10-01,48
2011-11-01,51
2011-12-01,51
2012-01-01,54
2012-02-01,44
2012-03-01,40
2012-04-01,47
2012-05-01,45
2012-06-01,45
2012-07-01,55
2012-08-01,63
2012-09-01,54
2012-10-01,43
2012-11-01,44
2012-12-01,51
2013-01-01,61
2013-02-01,56
2013-03-01,53
2013-04-01,55
2013-05-01,63
2013-06-01,65
2013-07-01,77
2013-08-01,77
2013-09-01,66
2013-10-01,73
2013-11-01,67
2013-12-01,83
2014-01-01,88
2014-02-01,82
2014-03-01,79
2014-04-01,75
2014-05-01,74
2014-06-01,75
2014-07-01,92
2014-08-01,88
2014-09-01,76
2014-10-01,76
2014-11-01,73
2014-12-01,79
2015-01-01,76
2015-02-01,74
2015-03-01,66
2015-04-01,68
2015-05-01,73
2015-06-01,80
2015-07-01,80
2015-08-01,84
2015-09-01,74
2015-10-01,74
2015-11-01,71
2015-12-01,72
2016-01-01,91
2016-02-01,77
2016-03-01,72
2016-04-01,70
2016-05-01,68
2016-06-01,76
2016-07-01,100
2016-08-01,90
2016-09-01,81
2016-10-01,83
2016-11-01,76
2016-12-01,86
2017-01-01,92
