date,Deleting twitter,how to delete a twitter account
2011-01-01,16,9
2011-02-01,12,12
2011-03-01,18,19
2011-04-01,14,14
2011-05-01,15,15
2011-06-01,17,20
2011-07-01,18,28
2011-08-01,21,25
2011-09-01,14,22
2011-10-01,19,28
2011-11-01,22,39
2011-12-01,24,37
2012-01-01,27,44
2012-02-01,26,38
2012-03-01,26,41
2012-04-01,27,42
2012-05-01,27,42
2012-06-01,30,55
2012-07-01,28,59
2012-08-01,29,69
2012-09-01,28,63
2012-10-01,24,58
2012-11-01,29,55
2012-12-01,34,62
2013-01-01,36,70
2013-02-01,32,71
2013-03-01,25,57
2013-04-01,30,49
2013-05-01,32,56
2013-06-01,29,61
2013-07-01,29,58
2013-08-01,30,62
2013-09-01,31,59
2013-10-01,31,58
2013-11-01,28,51
2013-12-01,23,61
2014-01-01,32,71
2014-02-01,31,74
2014-03-01,34,71
2014-04-01,30,62
2014-05-01,29,62
2014-06-01,27,68
2014-07-01,34,84
2014-08-01,29,74
2014-09-01,33,61
2014-10-01,31,69
2014-11-01,30,71
2014-12-01,30,72
2015-01-01,32,91
2015-02-01,29,77
2015-03-01,26,65
2015-04-01,29,62
2015-05-01,30,72
2015-06-01,31,100
2015-07-01,33,76
2015-08-01,31,64
2015-09-01,31,68
2015-10-01,26,75
2015-11-01,28,69
2015-12-01,26,67
2016-01-01,30,70
2016-02-01,28,50
2016-03-01,29,64
2016-04-01,25,65
2016-05-01,25,66
2016-06-01,29,67
2016-07-01,29,71
2016-08-01,29,68
2016-09-01,28,60
2016-10-01,27,61
2016-11-01,33,59
2016-12-01,27,59
2017-01-01,40,73
