date,twitter trending philippines,how to delete a twitter account
2011-01-01,1,9
2011-02-01,1,12
2011-03-01,1,15
2011-04-01,1,10
2011-05-01,2,20
2011-06-01,2,16
2011-07-01,2,27
2011-08-01,1,24
2011-09-01,2,19
2011-10-01,1,24
2011-11-01,2,31
2011-12-01,3,32
2012-01-01,9,40
2012-02-01,9,30
2012-03-01,7,34
2012-04-01,7,37
2012-05-01,4,35
2012-06-01,3,42
2012-07-01,2,41
2012-08-01,3,58
2012-09-01,2,50
2012-10-01,2,46
2012-11-01,3,47
2012-12-01,3,47
2013-01-01,3,59
2013-02-01,2,61
2013-03-01,2,47
2013-04-01,1,42
2013-05-01,2,50
2013-06-01,3,57
2013-07-01,4,51
2013-08-01,3,46
2013-09-01,2,46
2013-10-01,2,46
2013-11-01,3,47
2013-12-01,1,46
2014-01-01,5,60
2014-02-01,2,62
2014-03-01,3,60
2014-04-01,2,52
2014-05-01,3,47
2014-06-01,2,59
2014-07-01,6,62
2014-08-01,4,58
2014-09-01,3,57
2014-10-01,4,61
2014-11-01,2,53
2014-12-01,1,62
2015-01-01,4,73
2015-02-01,2,59
2015-03-01,3,55
2015-04-01,3,59
2015-05-01,7,61
2015-06-01,5,88
2015-07-01,13,62
2015-08-01,43,59
2015-09-01,100,57
2015-10-01,40,65
2015-11-01,23,61
2015-12-01,13,61
2016-01-01,16,62
2016-02-01,20,45
2016-03-01,12,54
2016-04-01,10,55
2016-05-01,12,57
2016-06-01,7,53
2016-07-01,11,59
2016-08-01,10,58
2016-09-01,9,53
2016-10-01,12,54
2016-11-01,7,53
2016-12-01,7,49
2017-01-01,7,67
