date,delete retweets,how to delete a twitter account
2011-01-01,2,10
2011-02-01,2,13
2011-03-01,2,18
2011-04-01,1,12
2011-05-01,1,20
2011-06-01,3,20
2011-07-01,2,32
2011-08-01,2,25
2011-09-01,3,23
2011-10-01,2,29
2011-11-01,2,34
2011-12-01,3,35
2012-01-01,4,40
2012-02-01,5,36
2012-03-01,9,39
2012-04-01,10,43
2012-05-01,11,39
2012-06-01,11,48
2012-07-01,19,46
2012-08-01,23,65
2012-09-01,16,58
2012-10-01,14,54
2012-11-01,19,52
2012-12-01,18,54
2013-01-01,24,68
2013-02-01,23,74
2013-03-01,23,54
2013-04-01,19,50
2013-05-01,11,57
2013-06-01,10,60
2013-07-01,8,59
2013-08-01,9,54
2013-09-01,7,54
2013-10-01,6,51
2013-11-01,6,51
2013-12-01,7,51
2014-01-01,7,67
2014-02-01,6,74
2014-03-01,7,66
2014-04-01,7,61
2014-05-01,8,55
2014-06-01,7,66
2014-07-01,7,74
2014-08-01,6,68
2014-09-01,8,63
2014-10-01,5,69
2014-11-01,7,63
2014-12-01,6,70
2015-01-01,6,83
2015-02-01,10,66
2015-03-01,9,63
2015-04-01,7,63
2015-05-01,6,73
2015-06-01,9,100
2015-07-01,8,73
2015-08-01,8,65
2015-09-01,5,65
2015-10-01,7,73
2015-11-01,7,71
2015-12-01,8,70
2016-01-01,8,71
2016-02-01,8,54
2016-03-01,9,60
2016-04-01,6,61
2016-05-01,9,65
2016-06-01,8,62
2016-07-01,11,67
2016-08-01,13,68
2016-09-01,10,61
2016-10-01,8,57
2016-11-01,12,57
2016-12-01,12,58
2017-01-01,13,71
