date,how to delete tweets,how to delete a twitter account
2011-01-01,26,10
2011-02-01,21,13
2011-03-01,25,18
2011-04-01,27,12
2011-05-01,29,20
2011-06-01,39,20
2011-07-01,35,32
2011-08-01,42,25
2011-09-01,38,23
2011-10-01,41,29
2011-11-01,45,34
2011-12-01,45,35
2012-01-01,53,40
2012-02-01,51,36
2012-03-01,58,39
2012-04-01,53,43
2012-05-01,57,39
2012-06-01,60,48
2012-07-01,72,46
2012-08-01,78,65
2012-09-01,67,58
2012-10-01,66,54
2012-11-01,70,52
2012-12-01,83,54
2013-01-01,87,68
2013-02-01,77,74
2013-03-01,79,54
2013-04-01,78,50
2013-05-01,79,57
2013-06-01,83,60
2013-07-01,91,59
2013-08-01,89,54
2013-09-01,77,54
2013-10-01,68,51
2013-11-01,70,51
2013-12-01,81,51
2014-01-01,78,67
2014-02-01,90,74
2014-03-01,93,66
2014-04-01,79,61
2014-05-01,75,55
2014-06-01,73,66
2014-07-01,79,74
2014-08-01,73,68
2014-09-01,76,63
2014-10-01,64,69
2014-11-01,68,63
2014-12-01,71,70
2015-01-01,80,83
2015-02-01,76,66
2015-03-01,69,63
2015-04-01,71,63
2015-05-01,72,73
2015-06-01,75,100
2015-07-01,80,73
2015-08-01,77,65
2015-09-01,69,65
2015-10-01,68,73
2015-11-01,64,71
2015-12-01,64,70
2016-01-01,70,71
2016-02-01,72,54
2016-03-01,62,60
2016-04-01,62,61
2016-05-01,69,65
2016-06-01,71,62
2016-07-01,77,67
2016-08-01,70,68
2016-09-01,73,61
2016-10-01,60,57
2016-11-01,68,57
2016-12-01,61,58
2017-01-01,79,71
