date,twitter delete,how to delete a twitter account
2011-01-01,22,1
2011-02-01,24,1
2011-03-01,28,2
2011-04-01,30,1
2011-05-01,32,2
2011-06-01,36,2
2011-07-01,45,3
2011-08-01,41,3
2011-09-01,39,2
2011-10-01,41,3
2011-11-01,49,3
2011-12-01,55,4
2012-01-01,59,4
2012-02-01,58,3
2012-03-01,55,4
2012-04-01,68,5
2012-05-01,65,4
2012-06-01,75,5
2012-07-01,85,6
2012-08-01,90,7
2012-09-01,78,6
2012-10-01,73,6
2012-11-01,79,6
2012-12-01,89,6
2013-01-01,92,7
2013-02-01,87,7
2013-03-01,81,6
2013-04-01,79,5
2013-05-01,75,6
2013-06-01,81,6
2013-07-01,88,6
2013-08-01,86,6
2013-09-01,77,5
2013-10-01,72,6
2013-11-01,71,5
2013-12-01,78,6
2014-01-01,89,8
2014-02-01,84,7
2014-03-01,85,6
2014-04-01,81,6
2014-05-01,79,6
2014-06-01,82,7
2014-07-01,87,8
2014-08-01,90,7
2014-09-01,81,7
2014-10-01,78,7
2014-11-01,79,7
2014-12-01,85,7
2015-01-01,92,9
2015-02-01,85,7
2015-03-01,83,7
2015-04-01,85,6
2015-05-01,85,7
2015-06-01,88,10
2015-07-01,100,8
2015-08-01,96,6
2015-09-01,85,7
2015-10-01,79,8
2015-11-01,82,7
2015-12-01,83,7
2016-01-01,88,7
2016-02-01,79,5
2016-03-01,78,6
2016-04-01,77,7
2016-05-01,78,6
2016-06-01,94,6
2016-07-01,94,7
2016-08-01,88,7
2016-09-01,82,6
2016-10-01,77,6
2016-11-01,80,6
2016-12-01,80,6
2017-01-01,96,8
