date,How to delete a Twitter account,how to delete a twitter account
2011-01-01,9,9
2011-02-01,12,12
2011-03-01,19,19
2011-04-01,14,14
2011-05-01,15,15
2011-06-01,20,20
2011-07-01,28,28
2011-08-01,25,25
2011-09-01,22,22
2011-10-01,28,28
2011-11-01,39,39
2011-12-01,37,37
2012-01-01,44,44
2012-02-01,38,38
2012-03-01,41,41
2012-04-01,42,42
2012-05-01,42,42
2012-06-01,55,55
2012-07-01,59,59
2012-08-01,69,69
2012-09-01,63,63
2012-10-01,58,58
2012-11-01,55,55
2012-12-01,62,62
2013-01-01,70,70
2013-02-01,71,71
2013-03-01,57,57
2013-04-01,49,49
2013-05-01,56,56
2013-06-01,61,61
2013-07-01,58,58
2013-08-01,62,62
2013-09-01,59,59
2013-10-01,58,58
2013-11-01,51,51
2013-12-01,61,61
2014-01-01,71,71
2014-02-01,74,74
2014-03-01,71,71
2014-04-01,62,62
2014-05-01,62,62
2014-06-01,68,68
2014-07-01,84,84
2014-08-01,74,74
2014-09-01,61,61
2014-10-01,69,69
2014-11-01,71,71
2014-12-01,72,72
2015-01-01,91,91
2015-02-01,77,77
2015-03-01,65,65
2015-04-01,62,62
2015-05-01,72,72
2015-06-01,100,100
2015-07-01,76,76
2015-08-01,64,64
2015-09-01,68,68
2015-10-01,75,75
2015-11-01,69,69
2015-12-01,67,67
2016-01-01,70,70
2016-02-01,50,50
2016-03-01,64,64
2016-04-01,65,65
2016-05-01,66,66
2016-06-01,67,67
2016-07-01,71,71
2016-08-01,68,68
2016-09-01,60,60
2016-10-01,61,61
2016-11-01,59,59
2016-12-01,59,59
2017-01-01,73,73
