date,twitter trending us,how to delete a twitter account
2011-01-01,0,10
2011-02-01,0,12
2011-03-01,1,19
2011-04-01,2,14
2011-05-01,3,17
2011-06-01,4,22
2011-07-01,1,31
2011-08-01,1,27
2011-09-01,1,23
2011-10-01,1,27
2011-11-01,2,32
2011-12-01,2,35
2012-01-01,1,39
2012-02-01,1,36
2012-03-01,2,37
2012-04-01,1,42
2012-05-01,3,37
2012-06-01,3,50
2012-07-01,1,46
2012-08-01,2,61
2012-09-01,1,57
2012-10-01,2,56
2012-11-01,2,46
2012-12-01,2,53
2013-01-01,2,66
2013-02-01,1,79
2013-03-01,1,53
2013-04-01,0,52
2013-05-01,1,59
2013-06-01,2,56
2013-07-01,1,55
2013-08-01,1,52
2013-09-01,1,53
2013-10-01,2,48
2013-11-01,0,50
2013-12-01,2,53
2014-01-01,2,65
2014-02-01,2,76
2014-03-01,1,61
2014-04-01,1,60
2014-05-01,2,57
2014-06-01,1,66
2014-07-01,2,72
2014-08-01,2,65
2014-09-01,2,58
2014-10-01,2,66
2014-11-01,1,63
2014-12-01,2,69
2015-01-01,4,82
2015-02-01,1,66
2015-03-01,2,62
2015-04-01,2,62
2015-05-01,2,71
2015-06-01,1,100
2015-07-01,2,74
2015-08-01,1,61
2015-09-01,2,63
2015-10-01,1,72
2015-11-01,2,68
2015-12-01,1,68
2016-01-01,2,68
2016-02-01,2,54
2016-03-01,2,57
2016-04-01,11,58
2016-05-01,5,62
2016-06-01,3,61
2016-07-01,4,65
2016-08-01,2,65
2016-09-01,3,61
2016-10-01,5,56
2016-11-01,15,53
2016-12-01,3,57
2017-01-01,6,68
