date,twitter account login,how to delete a twitter account
2011-01-01,33,10
2011-02-01,29,14
2011-03-01,35,17
2011-04-01,46,11
2011-05-01,57,22
2011-06-01,56,19
2011-07-01,71,31
2011-08-01,59,27
2011-09-01,39,22
2011-10-01,38,28
2011-11-01,39,36
2011-12-01,35,36
2012-01-01,42,45
2012-02-01,60,34
2012-03-01,68,38
2012-04-01,47,42
2012-05-01,47,40
2012-06-01,55,47
2012-07-01,48,47
2012-08-01,64,65
2012-09-01,48,57
2012-10-01,48,52
2012-11-01,45,53
2012-12-01,47,54
2013-01-01,43,67
2013-02-01,52,70
2013-03-01,45,54
2013-04-01,55,47
2013-05-01,56,57
2013-06-01,61,65
2013-07-01,50,58
2013-08-01,62,52
2013-09-01,55,52
2013-10-01,52,52
2013-11-01,58,53
2013-12-01,51,53
2014-01-01,55,68
2014-02-01,61,71
2014-03-01,52,68
2014-04-01,75,59
2014-05-01,73,54
2014-06-01,66,67
2014-07-01,49,71
2014-08-01,72,66
2014-09-01,55,65
2014-10-01,59,70
2014-11-01,48,61
2014-12-01,50,70
2015-01-01,66,83
2015-02-01,55,67
2015-03-01,55,62
2015-04-01,54,67
2015-05-01,59,70
2015-06-01,60,100
2015-07-01,51,71
2015-08-01,67,67
2015-09-01,68,65
2015-10-01,82,74
2015-11-01,72,69
2015-12-01,73,69
2016-01-01,70,70
2016-02-01,67,52
2016-03-01,67,61
2016-04-01,69,62
2016-05-01,72,65
2016-06-01,68,61
2016-07-01,90,66
2016-08-01,90,65
2016-09-01,85,60
2016-10-01,82,61
2016-11-01,87,60
2016-12-01,81,56
2017-01-01,94,76
