date,download twitter for mobile nokia,how to delete a twitter account
2011-01-01,5,10
2011-02-01,4,13
2011-03-01,4,18
2011-04-01,5,12
2011-05-01,4,20
2011-06-01,7,20
2011-07-01,6,32
2011-08-01,6,25
2011-09-01,9,23
2011-10-01,10,29
2011-11-01,10,34
2011-12-01,7,35
2012-01-01,9,40
2012-02-01,9,36
2012-03-01,10,39
2012-04-01,7,43
2012-05-01,6,39
2012-06-01,9,48
2012-07-01,9,46
2012-08-01,9,65
2012-09-01,8,58
2012-10-01,6,54
2012-11-01,6,52
2012-12-01,5,54
2013-01-01,7,68
2013-02-01,6,74
2013-03-01,5,54
2013-04-01,5,50
2013-05-01,5,57
2013-06-01,6,60
2013-07-01,6,59
2013-08-01,6,54
2013-09-01,4,54
2013-10-01,4,51
2013-11-01,4,51
2013-12-01,5,51
2014-01-01,5,67
2014-02-01,3,74
2014-03-01,3,66
2014-04-01,3,61
2014-05-01,3,55
2014-06-01,2,66
2014-07-01,4,74
2014-08-01,2,68
2014-09-01,4,63
2014-10-01,2,69
2014-11-01,3,63
2014-12-01,1,70
2015-01-01,2,83
2015-02-01,2,66
2015-03-01,2,63
2015-04-01,3,63
2015-05-01,2,73
2015-06-01,2,100
2015-07-01,2,73
2015-08-01,2,65
2015-09-01,2,65
2015-10-01,1,73
2015-11-01,1,71
2015-12-01,1,70
2016-01-01,1,71
2016-02-01,1,54
2016-03-01,1,60
2016-04-01,2,61
2016-05-01,1,65
2016-06-01,1,62
2016-07-01,1,67
2016-08-01,1,68
2016-09-01,1,61
2016-10-01,1,57
2016-11-01,1,57
2016-12-01,1,58
2017-01-01,1,71
