date,twitter sign up,how to delete a twitter account
2011-01-01,72,1
2011-02-01,76,1
2011-03-01,78,2
2011-04-01,87,1
2011-05-01,89,2
2011-06-01,90,2
2011-07-01,100,4
2011-08-01,97,3
2011-09-01,81,3
2011-10-01,54,3
2011-11-01,34,4
2011-12-01,48,4
2012-01-01,61,5
2012-02-01,67,4
2012-03-01,63,4
2012-04-01,70,5
2012-05-01,88,5
2012-06-01,87,6
2012-07-01,81,5
2012-08-01,74,8
2012-09-01,59,7
2012-10-01,66,6
2012-11-01,67,6
2012-12-01,62,6
2013-01-01,55,8
2013-02-01,62,9
2013-03-01,67,6
2013-04-01,65,6
2013-05-01,51,7
2013-06-01,64,7
2013-07-01,84,7
2013-08-01,76,6
2013-09-01,58,6
2013-10-01,55,6
2013-11-01,61,6
2013-12-01,67,6
2014-01-01,57,8
2014-02-01,51,9
2014-03-01,59,8
2014-04-01,60,7
2014-05-01,57,6
2014-06-01,50,8
2014-07-01,57,9
2014-08-01,73,8
2014-09-01,62,7
2014-10-01,43,8
2014-11-01,40,7
2014-12-01,45,8
2015-01-01,49,10
2015-02-01,47,8
2015-03-01,36,7
2015-04-01,35,7
2015-05-01,39,8
2015-06-01,45,12
2015-07-01,37,8
2015-08-01,36,8
2015-09-01,35,7
2015-10-01,42,8
2015-11-01,37,8
2015-12-01,34,8
2016-01-01,33,8
2016-02-01,27,6
2016-03-01,33,7
2016-04-01,34,7
2016-05-01,29,7
2016-06-01,24,7
2016-07-01,29,8
2016-08-01,32,8
2016-09-01,32,7
2016-10-01,25,7
2016-11-01,24,7
2016-12-01,24,7
2017-01-01,31,8
