date,How do I deactivate my twitter account,how to delete a twitter account
2011-01-01,1,10
2011-02-01,0,12
2011-03-01,1,18
2011-04-01,1,13
2011-05-01,1,18
2011-06-01,2,23
2011-07-01,1,30
2011-08-01,2,28
2011-09-01,1,24
2011-10-01,1,30
2011-11-01,2,35
2011-12-01,1,35
2012-01-01,1,38
2012-02-01,2,34
2012-03-01,2,38
2012-04-01,3,46
2012-05-01,1,42
2012-06-01,2,53
2012-07-01,2,57
2012-08-01,3,73
2012-09-01,3,65
2012-10-01,4,59
2012-11-01,5,58
2012-12-01,3,56
2013-01-01,5,74
2013-02-01,4,75
2013-03-01,4,59
2013-04-01,2,50
2013-05-01,4,59
2013-06-01,4,60
2013-07-01,6,62
2013-08-01,5,60
2013-09-01,6,55
2013-10-01,4,56
2013-11-01,6,51
2013-12-01,5,61
2014-01-01,4,77
2014-02-01,4,74
2014-03-01,6,65
2014-04-01,8,59
2014-05-01,4,62
2014-06-01,4,68
2014-07-01,4,79
2014-08-01,10,71
2014-09-01,6,66
2014-10-01,4,74
2014-11-01,2,70
2014-12-01,3,75
2015-01-01,6,88
2015-02-01,7,75
2015-03-01,5,67
2015-04-01,3,65
2015-05-01,4,73
2015-06-01,6,100
2015-07-01,6,79
2015-08-01,3,63
2015-09-01,4,66
2015-10-01,4,79
2015-11-01,6,72
2015-12-01,6,75
2016-01-01,5,70
2016-02-01,2,54
2016-03-01,1,64
2016-04-01,3,67
2016-05-01,6,64
2016-06-01,4,65
2016-07-01,5,69
2016-08-01,2,68
2016-09-01,4,62
2016-10-01,4,59
2016-11-01,4,62
2016-12-01,3,62
2017-01-01,5,76
