date,desktop twitter,how to delete a twitter account
2011-01-01,44,3
2011-02-01,46,4
2011-03-01,51,5
2011-04-01,51,3
2011-05-01,69,7
2011-06-01,72,6
2011-07-01,73,9
2011-08-01,80,8
2011-09-01,72,7
2011-10-01,80,8
2011-11-01,85,11
2011-12-01,84,11
2012-01-01,81,13
2012-02-01,72,10
2012-03-01,68,11
2012-04-01,73,13
2012-05-01,82,12
2012-06-01,98,14
2012-07-01,95,14
2012-08-01,100,20
2012-09-01,81,17
2012-10-01,77,16
2012-11-01,78,16
2012-12-01,73,16
2013-01-01,79,20
2013-02-01,73,21
2013-03-01,82,16
2013-04-01,74,14
2013-05-01,67,17
2013-06-01,68,19
2013-07-01,66,17
2013-08-01,58,16
2013-09-01,59,16
2013-10-01,58,16
2013-11-01,53,16
2013-12-01,55,16
2014-01-01,57,20
2014-02-01,54,21
2014-03-01,51,21
2014-04-01,53,18
2014-05-01,49,16
2014-06-01,52,20
2014-07-01,54,21
2014-08-01,50,20
2014-09-01,53,19
2014-10-01,46,21
2014-11-01,45,18
2014-12-01,45,21
2015-01-01,48,25
2015-02-01,43,20
2015-03-01,45,19
2015-04-01,45,20
2015-05-01,38,21
2015-06-01,39,30
2015-07-01,44,21
2015-08-01,47,20
2015-09-01,41,19
2015-10-01,37,22
2015-11-01,44,21
2015-12-01,40,21
2016-01-01,39,21
2016-02-01,35,15
2016-03-01,33,18
2016-04-01,37,19
2016-05-01,33,20
2016-06-01,36,18
2016-07-01,38,20
2016-08-01,36,20
2016-09-01,34,18
2016-10-01,37,18
2016-11-01,39,18
2016-12-01,33,17
2017-01-01,41,23
