date,Delete my twitter account,how to delete a twitter account
2011-01-01,8,9
2011-02-01,9,12
2011-03-01,13,19
2011-04-01,12,14
2011-05-01,12,15
2011-06-01,18,20
2011-07-01,18,28
2011-08-01,19,25
2011-09-01,21,22
2011-10-01,21,28
2011-11-01,22,39
2011-12-01,24,37
2012-01-01,34,44
2012-02-01,30,38
2012-03-01,29,41
2012-04-01,32,42
2012-05-01,33,42
2012-06-01,35,55
2012-07-01,46,59
2012-08-01,44,69
2012-09-01,38,63
2012-10-01,38,58
2012-11-01,44,55
2012-12-01,46,62
2013-01-01,56,70
2013-02-01,46,71
2013-03-01,45,57
2013-04-01,44,49
2013-05-01,49,56
2013-06-01,42,61
2013-07-01,51,58
2013-08-01,61,62
2013-09-01,59,59
2013-10-01,45,58
2013-11-01,41,51
2013-12-01,45,61
2014-01-01,60,71
2014-02-01,67,74
2014-03-01,60,71
2014-04-01,42,62
2014-05-01,46,62
2014-06-01,60,68
2014-07-01,62,84
2014-08-01,67,74
2014-09-01,51,61
2014-10-01,51,69
2014-11-01,56,71
2014-12-01,59,72
2015-01-01,67,91
2015-02-01,52,77
2015-03-01,47,65
2015-04-01,50,62
2015-05-01,64,72
2015-06-01,60,100
2015-07-01,60,76
2015-08-01,58,64
2015-09-01,65,68
2015-10-01,55,75
2015-11-01,48,69
2015-12-01,43,67
2016-01-01,57,70
2016-02-01,54,50
2016-03-01,51,64
2016-04-01,50,65
2016-05-01,45,66
2016-06-01,60,67
2016-07-01,66,71
2016-08-01,60,68
2016-09-01,45,60
2016-10-01,50,61
2016-11-01,54,59
2016-12-01,54,59
2017-01-01,64,73
