date,deleting twitter,how to delete a twitter account
2011-01-01,14,9
2011-02-01,13,14
2011-03-01,16,17
2011-04-01,16,14
2011-05-01,17,19
2011-06-01,19,25
2011-07-01,23,33
2011-08-01,16,29
2011-09-01,17,25
2011-10-01,18,33
2011-11-01,19,34
2011-12-01,25,36
2012-01-01,25,44
2012-02-01,22,34
2012-03-01,27,37
2012-04-01,27,41
2012-05-01,27,41
2012-06-01,30,49
2012-07-01,27,59
2012-08-01,33,70
2012-09-01,28,59
2012-10-01,24,58
2012-11-01,29,60
2012-12-01,33,59
2013-01-01,31,71
2013-02-01,34,77
2013-03-01,24,61
2013-04-01,29,49
2013-05-01,33,62
2013-06-01,26,64
2013-07-01,33,65
2013-08-01,33,59
2013-09-01,29,53
2013-10-01,33,56
2013-11-01,25,48
2013-12-01,25,63
2014-01-01,39,76
2014-02-01,32,72
2014-03-01,34,68
2014-04-01,33,59
2014-05-01,29,62
2014-06-01,28,70
2014-07-01,37,77
2014-08-01,32,73
2014-09-01,36,67
2014-10-01,29,77
2014-11-01,29,70
2014-12-01,31,76
2015-01-01,32,91
2015-02-01,28,79
2015-03-01,29,66
2015-04-01,35,68
2015-05-01,32,72
2015-06-01,28,100
2015-07-01,35,78
2015-08-01,34,64
2015-09-01,32,66
2015-10-01,29,80
2015-11-01,30,74
2015-12-01,26,76
2016-01-01,32,71
2016-02-01,24,56
2016-03-01,30,65
2016-04-01,29,69
2016-05-01,26,66
2016-06-01,33,61
2016-07-01,27,70
2016-08-01,29,69
2016-09-01,32,64
2016-10-01,24,61
2016-11-01,31,64
2016-12-01,31,61
2017-01-01,43,82
