date,twitter account settings,how to delete a twitter account
2011-01-01,7,10
2011-02-01,6,14
2011-03-01,5,17
2011-04-01,13,11
2011-05-01,21,22
2011-06-01,21,19
2011-07-01,21,31
2011-08-01,25,27
2011-09-01,28,22
2011-10-01,38,28
2011-11-01,38,36
2011-12-01,34,36
2012-01-01,25,45
2012-02-01,26,34
2012-03-01,26,38
2012-04-01,24,42
2012-05-01,27,40
2012-06-01,24,47
2012-07-01,31,47
2012-08-01,25,65
2012-09-01,18,57
2012-10-01,20,52
2012-11-01,19,53
2012-12-01,18,54
2013-01-01,18,67
2013-02-01,18,70
2013-03-01,16,54
2013-04-01,18,47
2013-05-01,10,57
2013-06-01,14,65
2013-07-01,17,58
2013-08-01,16,52
2013-09-01,15,52
2013-10-01,12,52
2013-11-01,12,53
2013-12-01,12,53
2014-01-01,14,68
2014-02-01,10,71
2014-03-01,10,68
2014-04-01,13,59
2014-05-01,14,54
2014-06-01,13,67
2014-07-01,11,71
2014-08-01,13,66
2014-09-01,11,65
2014-10-01,13,70
2014-11-01,16,61
2014-12-01,20,70
2015-01-01,19,83
2015-02-01,14,67
2015-03-01,17,62
2015-04-01,20,67
2015-05-01,11,70
2015-06-01,18,100
2015-07-01,21,71
2015-08-01,21,67
2015-09-01,15,65
2015-10-01,14,74
2015-11-01,11,69
2015-12-01,15,69
2016-01-01,12,70
2016-02-01,9,52
2016-03-01,9,61
2016-04-01,12,62
2016-05-01,13,65
2016-06-01,13,61
2016-07-01,16,66
2016-08-01,12,65
2016-09-01,11,60
2016-10-01,14,61
2016-11-01,12,60
2016-12-01,15,56
2017-01-01,19,76
