date,deactivate twitter,how to delete a twitter account
2011-01-01,6,4
2011-02-01,6,5
2011-03-01,9,7
2011-04-01,10,5
2011-05-01,12,7
2011-06-01,13,7
2011-07-01,15,12
2011-08-01,18,9
2011-09-01,17,9
2011-10-01,19,11
2011-11-01,22,13
2011-12-01,29,13
2012-01-01,33,15
2012-02-01,32,13
2012-03-01,33,14
2012-04-01,42,16
2012-05-01,48,15
2012-06-01,50,18
2012-07-01,57,17
2012-08-01,62,24
2012-09-01,59,22
2012-10-01,55,20
2012-11-01,63,19
2012-12-01,80,20
2013-01-01,91,25
2013-02-01,87,27
2013-03-01,76,20
2013-04-01,75,18
2013-05-01,71,21
2013-06-01,80,22
2013-07-01,84,22
2013-08-01,80,20
2013-09-01,73,20
2013-10-01,69,19
2013-11-01,73,19
2013-12-01,76,19
2014-01-01,86,25
2014-02-01,83,27
2014-03-01,81,24
2014-04-01,84,23
2014-05-01,81,20
2014-06-01,85,25
2014-07-01,87,27
2014-08-01,94,25
2014-09-01,78,23
2014-10-01,73,25
2014-11-01,78,23
2014-12-01,88,26
2015-01-01,94,31
2015-02-01,83,24
2015-03-01,84,23
2015-04-01,86,24
2015-05-01,86,27
2015-06-01,95,37
2015-07-01,96,27
2015-08-01,92,24
2015-09-01,82,24
2015-10-01,79,27
2015-11-01,84,26
2015-12-01,87,26
2016-01-01,90,26
2016-02-01,78,20
2016-03-01,80,22
2016-04-01,83,23
2016-05-01,90,24
2016-06-01,96,23
2016-07-01,100,25
2016-08-01,94,25
2016-09-01,83,23
2016-10-01,82,21
2016-11-01,83,21
2016-12-01,87,22
2017-01-01,93,26
