date,how to delete twitter,how to delete a twitter account
2011-01-01,19,1
2011-02-01,18,2
2011-03-01,20,3
2011-04-01,24,2
2011-05-01,26,3
2011-06-01,33,3
2011-07-01,40,5
2011-08-01,39,4
2011-09-01,34,4
2011-10-01,40,5
2011-11-01,44,6
2011-12-01,50,7
2012-01-01,56,8
2012-02-01,51,7
2012-03-01,52,7
2012-04-01,59,7
2012-05-01,60,7
2012-06-01,65,9
2012-07-01,86,11
2012-08-01,79,12
2012-09-01,69,10
2012-10-01,69,10
2012-11-01,75,10
2012-12-01,85,11
2013-01-01,87,12
2013-02-01,80,13
2013-03-01,82,10
2013-04-01,73,8
2013-05-01,69,10
2013-06-01,74,11
2013-07-01,86,10
2013-08-01,84,11
2013-09-01,73,10
2013-10-01,70,10
2013-11-01,69,9
2013-12-01,78,11
2014-01-01,87,13
2014-02-01,84,13
2014-03-01,81,13
2014-04-01,79,10
2014-05-01,76,11
2014-06-01,77,12
2014-07-01,87,14
2014-08-01,86,14
2014-09-01,79,11
2014-10-01,76,12
2014-11-01,79,13
2014-12-01,82,12
2015-01-01,91,15
2015-02-01,83,13
2015-03-01,84,11
2015-04-01,84,11
2015-05-01,84,12
2015-06-01,92,17
2015-07-01,100,13
2015-08-01,98,12
2015-09-01,86,11
2015-10-01,76,13
2015-11-01,81,12
2015-12-01,84,12
2016-01-01,90,12
2016-02-01,78,9
2016-03-01,79,11
2016-04-01,74,11
2016-05-01,78,11
2016-06-01,90,11
2016-07-01,95,12
2016-08-01,89,12
2016-09-01,79,10
2016-10-01,76,10
2016-11-01,80,10
2016-12-01,82,10
2017-01-01,94,14
