date,facebook follow button,how to delete a twitter account
2011-01-01,35,10
2011-02-01,42,13
2011-03-01,38,18
2011-04-01,37,12
2011-05-01,41,20
2011-06-01,61,20
2011-07-01,60,32
2011-08-01,68,25
2011-09-01,61,23
2011-10-01,52,29
2011-11-01,52,34
2011-12-01,48,35
2012-01-01,58,40
2012-02-01,51,36
2012-03-01,51,39
2012-04-01,55,43
2012-05-01,51,39
2012-06-01,44,48
2012-07-01,50,46
2012-08-01,53,65
2012-09-01,41,58
2012-10-01,39,54
2012-11-01,41,52
2012-12-01,34,54
2013-01-01,67,68
2013-02-01,83,74
2013-03-01,81,54
2013-04-01,81,50
2013-05-01,82,57
2013-06-01,70,60
2013-07-01,73,59
2013-08-01,75,54
2013-09-01,62,54
2013-10-01,61,51
2013-11-01,72,51
2013-12-01,74,51
2014-01-01,72,67
2014-02-01,77,74
2014-03-01,62,66
2014-04-01,49,61
2014-05-01,50,55
2014-06-01,49,66
2014-07-01,52,74
2014-08-01,44,68
2014-09-01,44,63
2014-10-01,40,69
2014-11-01,35,63
2014-12-01,33,70
2015-01-01,33,83
2015-02-01,36,66
2015-03-01,36,63
2015-04-01,35,63
2015-05-01,33,73
2015-06-01,33,100
2015-07-01,31,73
2015-08-01,28,65
2015-09-01,27,65
2015-10-01,26,73
2015-11-01,23,71
2015-12-01,25,70
2016-01-01,28,71
2016-02-01,27,54
2016-03-01,26,60
2016-04-01,25,61
2016-05-01,25,65
2016-06-01,26,62
2016-07-01,24,67
2016-08-01,25,68
2016-09-01,23,61
2016-10-01,26,57
2016-11-01,22,57
2016-12-01,24,58
2017-01-01,27,71
