date,how to deactivate instagram,how to delete a twitter account
2011-01-01,0,3
2011-02-01,0,4
2011-03-01,0,6
2011-04-01,0,4
2011-05-01,0,6
2011-06-01,0,6
2011-07-01,0,10
2011-08-01,1,8
2011-09-01,0,7
2011-10-01,0,9
2011-11-01,0,11
2011-12-01,0,11
2012-01-01,1,13
2012-02-01,1,11
2012-03-01,2,12
2012-04-01,3,14
2012-05-01,4,12
2012-06-01,5,15
2012-07-01,7,15
2012-08-01,8,21
2012-09-01,9,18
2012-10-01,10,17
2012-11-01,12,16
2012-12-01,17,17
2013-01-01,18,22
2013-02-01,19,23
2013-03-01,17,17
2013-04-01,20,16
2013-05-01,19,18
2013-06-01,21,19
2013-07-01,24,19
2013-08-01,25,17
2013-09-01,24,17
2013-10-01,18,16
2013-11-01,21,16
2013-12-01,23,16
2014-01-01,25,21
2014-02-01,23,23
2014-03-01,24,21
2014-04-01,29,19
2014-05-01,25,17
2014-06-01,29,21
2014-07-01,31,24
2014-08-01,34,22
2014-09-01,27,20
2014-10-01,28,22
2014-11-01,31,20
2014-12-01,33,22
2015-01-01,37,26
2015-02-01,32,21
2015-03-01,35,20
2015-04-01,36,20
2015-05-01,36,23
2015-06-01,36,32
2015-07-01,45,23
2015-08-01,48,21
2015-09-01,40,21
2015-10-01,43,23
2015-11-01,49,22
2015-12-01,56,22
2016-01-01,63,22
2016-02-01,53,17
2016-03-01,57,19
2016-04-01,61,19
2016-05-01,63,21
2016-06-01,67,20
2016-07-01,71,21
2016-08-01,78,21
2016-09-01,74,19
2016-10-01,80,18
2016-11-01,86,18
2016-12-01,89,18
2017-01-01,100,23
