date,Deleting twitter account,how to delete a twitter account
2011-01-01,5,10
2011-02-01,2,12
2011-03-01,4,18
2011-04-01,4,13
2011-05-01,7,18
2011-06-01,7,23
2011-07-01,5,30
2011-08-01,7,28
2011-09-01,5,24
2011-10-01,6,30
2011-11-01,7,35
2011-12-01,8,35
2012-01-01,9,38
2012-02-01,11,34
2012-03-01,9,38
2012-04-01,8,46
2012-05-01,9,42
2012-06-01,11,53
2012-07-01,12,57
2012-08-01,10,73
2012-09-01,13,65
2012-10-01,12,59
2012-11-01,13,58
2012-12-01,9,56
2013-01-01,15,74
2013-02-01,13,75
2013-03-01,9,59
2013-04-01,14,50
2013-05-01,11,59
2013-06-01,13,60
2013-07-01,12,62
2013-08-01,14,60
2013-09-01,13,55
2013-10-01,13,56
2013-11-01,12,51
2013-12-01,9,61
2014-01-01,13,77
2014-02-01,12,74
2014-03-01,11,65
2014-04-01,11,59
2014-05-01,11,62
2014-06-01,12,68
2014-07-01,14,79
2014-08-01,12,71
2014-09-01,15,66
2014-10-01,12,74
2014-11-01,11,70
2014-12-01,14,75
2015-01-01,14,88
2015-02-01,14,75
2015-03-01,11,67
2015-04-01,12,65
2015-05-01,11,73
2015-06-01,12,100
2015-07-01,14,79
2015-08-01,12,63
2015-09-01,12,66
2015-10-01,13,79
2015-11-01,13,72
2015-12-01,9,75
2016-01-01,11,70
2016-02-01,11,54
2016-03-01,12,64
2016-04-01,11,67
2016-05-01,11,64
2016-06-01,11,65
2016-07-01,11,69
2016-08-01,12,68
2016-09-01,12,62
2016-10-01,8,59
2016-11-01,10,62
2016-12-01,10,62
2017-01-01,17,76
