date,deactivate twitter account,how to delete a twitter account
2011-01-01,6,8
2011-02-01,7,11
2011-03-01,8,13
2011-04-01,12,9
2011-05-01,13,18
2011-06-01,11,15
2011-07-01,14,25
2011-08-01,19,22
2011-09-01,15,18
2011-10-01,15,22
2011-11-01,20,29
2011-12-01,15,29
2012-01-01,22,36
2012-02-01,23,28
2012-03-01,20,31
2012-04-01,21,34
2012-05-01,22,32
2012-06-01,33,38
2012-07-01,31,38
2012-08-01,38,52
2012-09-01,37,46
2012-10-01,44,42
2012-11-01,37,43
2012-12-01,50,43
2013-01-01,55,54
2013-02-01,52,56
2013-03-01,50,43
2013-04-01,52,38
2013-05-01,46,46
2013-06-01,47,52
2013-07-01,60,47
2013-08-01,65,42
2013-09-01,51,42
2013-10-01,47,41
2013-11-01,46,43
2013-12-01,52,42
2014-01-01,60,54
2014-02-01,54,57
2014-03-01,54,55
2014-04-01,64,48
2014-05-01,62,43
2014-06-01,58,53
2014-07-01,58,57
2014-08-01,68,53
2014-09-01,68,52
2014-10-01,62,56
2014-11-01,49,49
2014-12-01,61,56
2015-01-01,76,67
2015-02-01,69,54
2015-03-01,79,50
2015-04-01,69,53
2015-05-01,64,56
2015-06-01,75,80
2015-07-01,88,57
2015-08-01,78,54
2015-09-01,66,52
2015-10-01,59,59
2015-11-01,80,55
2015-12-01,83,56
2016-01-01,76,56
2016-02-01,54,41
2016-03-01,51,49
2016-04-01,72,50
2016-05-01,98,52
2016-06-01,79,49
2016-07-01,70,53
2016-08-01,73,52
2016-09-01,92,48
2016-10-01,84,49
2016-11-01,57,48
2016-12-01,64,45
2017-01-01,100,61
