date,delete twitter account,how to delete a twitter account
2011-01-01,18,2
2011-02-01,15,3
2011-03-01,18,4
2011-04-01,18,3
2011-05-01,23,3
2011-06-01,25,3
2011-07-01,34,6
2011-08-01,25,5
2011-09-01,30,6
2011-10-01,30,6
2011-11-01,36,7
2011-12-01,41,7
2012-01-01,44,8
2012-02-01,40,7
2012-03-01,37,9
2012-04-01,47,8
2012-05-01,44,9
2012-06-01,53,11
2012-07-01,57,12
2012-08-01,67,16
2012-09-01,60,12
2012-10-01,54,11
2012-11-01,56,12
2012-12-01,70,11
2013-01-01,74,14
2013-02-01,75,14
2013-03-01,62,12
2013-04-01,55,10
2013-05-01,69,12
2013-06-01,74,13
2013-07-01,67,12
2013-08-01,68,11
2013-09-01,74,11
2013-10-01,68,11
2013-11-01,60,10
2013-12-01,62,11
2014-01-01,81,15
2014-02-01,88,15
2014-03-01,80,12
2014-04-01,67,13
2014-05-01,67,12
2014-06-01,84,14
2014-07-01,97,15
2014-08-01,94,15
2014-09-01,82,13
2014-10-01,76,15
2014-11-01,78,14
2014-12-01,90,14
2015-01-01,100,17
2015-02-01,85,15
2015-03-01,86,12
2015-04-01,86,13
2015-05-01,82,14
2015-06-01,91,20
2015-07-01,99,15
2015-08-01,91,13
2015-09-01,83,13
2015-10-01,79,15
2015-11-01,79,16
2015-12-01,76,14
2016-01-01,83,15
2016-02-01,78,10
2016-03-01,77,12
2016-04-01,75,13
2016-05-01,70,13
2016-06-01,90,14
2016-07-01,98,13
2016-08-01,93,13
2016-09-01,81,13
2016-10-01,74,11
2016-11-01,81,12
2016-12-01,88,12
2017-01-01,99,16
