date,How to delete twitter account,how to delete a twitter account
2011-01-01,13,3
2011-02-01,15,4
2011-03-01,16,6
2011-04-01,16,4
2011-05-01,20,6
2011-06-01,20,7
2011-07-01,27,10
2011-08-01,22,9
2011-09-01,22,8
2011-10-01,27,10
2011-11-01,33,11
2011-12-01,34,11
2012-01-01,40,12
2012-02-01,35,11
2012-03-01,31,12
2012-04-01,40,15
2012-05-01,41,14
2012-06-01,47,17
2012-07-01,46,18
2012-08-01,55,24
2012-09-01,53,21
2012-10-01,47,19
2012-11-01,48,19
2012-12-01,52,18
2013-01-01,65,24
2013-02-01,70,24
2013-03-01,53,19
2013-04-01,49,16
2013-05-01,63,19
2013-06-01,70,19
2013-07-01,62,20
2013-08-01,60,19
2013-09-01,72,18
2013-10-01,65,18
2013-11-01,47,17
2013-12-01,54,20
2014-01-01,78,25
2014-02-01,94,24
2014-03-01,69,21
2014-04-01,60,19
2014-05-01,62,20
2014-06-01,89,22
2014-07-01,97,26
2014-08-01,83,23
2014-09-01,76,21
2014-10-01,75,24
2014-11-01,75,23
2014-12-01,83,24
2015-01-01,91,28
2015-02-01,81,24
2015-03-01,81,22
2015-04-01,84,21
2015-05-01,81,24
2015-06-01,96,32
2015-07-01,94,26
2015-08-01,91,21
2015-09-01,84,21
2015-10-01,83,26
2015-11-01,78,23
2015-12-01,79,24
2016-01-01,83,22
2016-02-01,76,17
2016-03-01,79,21
2016-04-01,73,22
2016-05-01,71,21
2016-06-01,87,21
2016-07-01,100,22
2016-08-01,97,22
2016-09-01,78,20
2016-10-01,75,19
2016-11-01,86,20
2016-12-01,100,20
2017-01-01,99,25
