date,can you hide certain pictures on instagram
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,55
2012-09-01,54
2012-10-01,50
2012-11-01,50
2012-12-01,50
2013-01-01,45
2013-02-01,50
2013-03-01,70
2013-04-01,90
2013-05-01,45
2013-06-01,45
2013-07-01,66
2013-08-01,88
2013-09-01,43
2013-10-01,41
2013-11-01,39
2013-12-01,39
2014-01-01,39
2014-02-01,38
2014-03-01,38
2014-04-01,39
2014-05-01,53
2014-06-01,43
2014-07-01,43
2014-08-01,86
2014-09-01,42
2014-10-01,39
2014-11-01,39
2014-12-01,40
2015-01-01,37
2015-02-01,37
2015-03-01,37
2015-04-01,36
2015-05-01,36
2015-06-01,37
2015-07-01,37
2015-08-01,36
2015-09-01,36
2015-10-01,34
2015-11-01,39
2015-12-01,44
2016-01-01,50
2016-02-01,66
2016-03-01,46
2016-04-01,32
2016-05-01,62
2016-06-01,32
2016-07-01,48
2016-08-01,42
2016-09-01,47
2016-10-01,79
2016-11-01,60
2016-12-01,100
2017-01-01,42
