date,facebook search
2011-01-01,65
2011-02-01,60
2011-03-01,55
2011-04-01,54
2011-05-01,49
2011-06-01,51
2011-07-01,53
2011-08-01,57
2011-09-01,82
2011-10-01,72
2011-11-01,60
2011-12-01,100
2012-01-01,91
2012-02-01,55
2012-03-01,54
2012-04-01,45
2012-05-01,53
2012-06-01,43
2012-07-01,38
2012-08-01,28
2012-09-01,31
2012-10-01,34
2012-11-01,33
2012-12-01,43
2013-01-01,41
2013-02-01,35
2013-03-01,36
2013-04-01,42
2013-05-01,34
2013-06-01,30
2013-07-01,36
2013-08-01,37
2013-09-01,33
2013-10-01,32
2013-11-01,33
2013-12-01,32
2014-01-01,32
2014-02-01,31
2014-03-01,31
2014-04-01,32
2014-05-01,31
2014-06-01,37
2014-07-01,40
2014-08-01,42
2014-09-01,29
2014-10-01,29
2014-11-01,34
2014-12-01,45
2015-01-01,44
2015-02-01,41
2015-03-01,39
2015-04-01,40
2015-05-01,40
2015-06-01,58
2015-07-01,71
2015-08-01,77
2015-09-01,66
2015-10-01,54
2015-11-01,52
2015-12-01,52
2016-01-01,51
2016-02-01,48
2016-03-01,46
2016-04-01,46
2016-05-01,46
2016-06-01,36
2016-07-01,35
2016-08-01,34
2016-09-01,40
2016-10-01,24
2016-11-01,29
2016-12-01,37
2017-01-01,34
