date,view facebook profile without being friends
2011-01-01,41
2011-02-01,54
2011-03-01,67
2011-04-01,31
2011-05-01,29
2011-06-01,100
2011-07-01,79
2011-08-01,75
2011-09-01,50
2011-10-01,86
2011-11-01,35
2011-12-01,51
2012-01-01,24
2012-02-01,24
2012-03-01,31
2012-04-01,32
2012-05-01,34
2012-06-01,27
2012-07-01,50
2012-08-01,38
2012-09-01,41
2012-10-01,31
2012-11-01,28
2012-12-01,31
2013-01-01,47
2013-02-01,28
2013-03-01,18
2013-04-01,44
2013-05-01,43
2013-06-01,53
2013-07-01,37
2013-08-01,58
2013-09-01,33
2013-10-01,45
2013-11-01,35
2013-12-01,49
2014-01-01,38
2014-02-01,38
2014-03-01,50
2014-04-01,41
2014-05-01,36
2014-06-01,40
2014-07-01,63
2014-08-01,51
2014-09-01,49
2014-10-01,54
2014-11-01,44
2014-12-01,41
2015-01-01,26
2015-02-01,37
2015-03-01,35
2015-04-01,44
2015-05-01,25
2015-06-01,15
2015-07-01,33
2015-08-01,23
2015-09-01,27
2015-10-01,40
2015-11-01,31
2015-12-01,54
2016-01-01,55
2016-02-01,30
2016-03-01,32
2016-04-01,29
2016-05-01,34
2016-06-01,25
2016-07-01,34
2016-08-01,33
2016-09-01,39
2016-10-01,37
2016-11-01,44
2016-12-01,48
2017-01-01,35
