date,specific friends on facebook
2011-01-01,73
2011-02-01,67
2011-03-01,42
2011-04-01,65
2011-05-01,89
2011-06-01,92
2011-07-01,71
2011-08-01,62
2011-09-01,100
2011-10-01,91
2011-11-01,84
2011-12-01,57
2012-01-01,79
2012-02-01,82
2012-03-01,44
2012-04-01,62
2012-05-01,36
2012-06-01,34
2012-07-01,77
2012-08-01,73
2012-09-01,65
2012-10-01,69
2012-11-01,33
2012-12-01,70
2013-01-01,42
2013-02-01,57
2013-03-01,83
2013-04-01,75
2013-05-01,47
2013-06-01,45
2013-07-01,24
2013-08-01,47
2013-09-01,57
2013-10-01,46
2013-11-01,47
2013-12-01,56
2014-01-01,39
2014-02-01,65
2014-03-01,48
2014-04-01,61
2014-05-01,48
2014-06-01,74
2014-07-01,46
2014-08-01,57
2014-09-01,52
2014-10-01,68
2014-11-01,32
2014-12-01,45
2015-01-01,52
2015-02-01,48
2015-03-01,61
2015-04-01,47
2015-05-01,63
2015-06-01,52
2015-07-01,44
2015-08-01,72
2015-09-01,45
2015-10-01,63
2015-11-01,65
2015-12-01,47
2016-01-01,42
2016-02-01,70
2016-03-01,72
2016-04-01,66
2016-05-01,70
2016-06-01,56
2016-07-01,67
2016-08-01,78
2016-09-01,73
2016-10-01,56
2016-11-01,84
2016-12-01,56
2017-01-01,70
