date,facebook search by city
2011-01-01,51
2011-02-01,51
2011-03-01,49
2011-04-01,54
2011-05-01,48
2011-06-01,49
2011-07-01,49
2011-08-01,53
2011-09-01,54
2011-10-01,45
2011-11-01,51
2011-12-01,47
2012-01-01,45
2012-02-01,36
2012-03-01,37
2012-04-01,33
2012-05-01,46
2012-06-01,41
2012-07-01,44
2012-08-01,38
2012-09-01,42
2012-10-01,34
2012-11-01,30
2012-12-01,47
2013-01-01,51
2013-02-01,54
2013-03-01,60
2013-04-01,45
2013-05-01,40
2013-06-01,35
2013-07-01,45
2013-08-01,36
2013-09-01,35
2013-10-01,28
2013-11-01,33
2013-12-01,39
2014-01-01,28
2014-02-01,27
2014-03-01,32
2014-04-01,35
2014-05-01,41
2014-06-01,50
2014-07-01,47
2014-08-01,42
2014-09-01,33
2014-10-01,31
2014-11-01,41
2014-12-01,53
2015-01-01,61
2015-02-01,52
2015-03-01,51
2015-04-01,67
2015-05-01,79
2015-06-01,81
2015-07-01,98
2015-08-01,96
2015-09-01,94
2015-10-01,99
2015-11-01,88
2015-12-01,93
2016-01-01,90
2016-02-01,92
2016-03-01,93
2016-04-01,100
2016-05-01,96
2016-06-01,69
2016-07-01,64
2016-08-01,59
2016-09-01,48
2016-10-01,34
2016-11-01,34
2016-12-01,36
2017-01-01,40
