date,facebook search by phone number
2011-01-01,51
2011-02-01,45
2011-03-01,45
2011-04-01,35
2011-05-01,50
2011-06-01,48
2011-07-01,49
2011-08-01,49
2011-09-01,57
2011-10-01,52
2011-11-01,57
2011-12-01,61
2012-01-01,60
2012-02-01,45
2012-03-01,48
2012-04-01,54
2012-05-01,60
2012-06-01,66
2012-07-01,53
2012-08-01,58
2012-09-01,55
2012-10-01,67
2012-11-01,56
2012-12-01,51
2013-01-01,62
2013-02-01,61
2013-03-01,54
2013-04-01,57
2013-05-01,61
2013-06-01,72
2013-07-01,62
2013-08-01,75
2013-09-01,67
2013-10-01,52
2013-11-01,59
2013-12-01,60
2014-01-01,53
2014-02-01,58
2014-03-01,61
2014-04-01,50
2014-05-01,67
2014-06-01,71
2014-07-01,67
2014-08-01,81
2014-09-01,59
2014-10-01,70
2014-11-01,64
2014-12-01,91
2015-01-01,75
2015-02-01,73
2015-03-01,66
2015-04-01,54
2015-05-01,65
2015-06-01,70
2015-07-01,71
2015-08-01,64
2015-09-01,100
2015-10-01,75
2015-11-01,74
2015-12-01,74
2016-01-01,64
2016-02-01,84
2016-03-01,73
2016-04-01,73
2016-05-01,88
2016-06-01,77
2016-07-01,62
2016-08-01,77
2016-09-01,81
2016-10-01,93
2016-11-01,87
2016-12-01,90
2017-01-01,86
