date,facebook settings page
2011-01-01,47
2011-02-01,59
2011-03-01,56
2011-04-01,48
2011-05-01,67
2011-06-01,58
2011-07-01,61
2011-08-01,63
2011-09-01,76
2011-10-01,75
2011-11-01,66
2011-12-01,73
2012-01-01,75
2012-02-01,70
2012-03-01,87
2012-04-01,67
2012-05-01,77
2012-06-01,72
2012-07-01,66
2012-08-01,59
2012-09-01,61
2012-10-01,49
2012-11-01,56
2012-12-01,69
2013-01-01,96
2013-02-01,68
2013-03-01,70
2013-04-01,69
2013-05-01,82
2013-06-01,76
2013-07-01,86
2013-08-01,73
2013-09-01,100
2013-10-01,85
2013-11-01,56
2013-12-01,50
2014-01-01,48
2014-02-01,48
2014-03-01,54
2014-04-01,46
2014-05-01,56
2014-06-01,48
2014-07-01,50
2014-08-01,54
2014-09-01,47
2014-10-01,49
2014-11-01,50
2014-12-01,57
2015-01-01,49
2015-02-01,50
2015-03-01,46
2015-04-01,55
2015-05-01,46
2015-06-01,49
2015-07-01,45
2015-08-01,49
2015-09-01,49
2015-10-01,46
2015-11-01,54
2015-12-01,45
2016-01-01,49
2016-02-01,55
2016-03-01,50
2016-04-01,58
2016-05-01,50
2016-06-01,52
2016-07-01,51
2016-08-01,54
2016-09-01,49
2016-10-01,53
2016-11-01,62
2016-12-01,50
2017-01-01,57
