date,facebook photo privacy settings
2011-01-01,29
2011-02-01,18
2011-03-01,25
2011-04-01,24
2011-05-01,19
2011-06-01,17
2011-07-01,9
2011-08-01,18
2011-09-01,80
2011-10-01,68
2011-11-01,62
2011-12-01,51
2012-01-01,44
2012-02-01,38
2012-03-01,28
2012-04-01,35
2012-05-01,34
2012-06-01,36
2012-07-01,26
2012-08-01,72
2012-09-01,99
2012-10-01,100
2012-11-01,82
2012-12-01,74
2013-01-01,77
2013-02-01,56
2013-03-01,55
2013-04-01,54
2013-05-01,48
2013-06-01,46
2013-07-01,57
2013-08-01,56
2013-09-01,66
2013-10-01,47
2013-11-01,39
2013-12-01,41
2014-01-01,43
2014-02-01,32
2014-03-01,27
2014-04-01,37
2014-05-01,35
2014-06-01,34
2014-07-01,29
2014-08-01,37
2014-09-01,35
2014-10-01,22
2014-11-01,25
2014-12-01,25
2015-01-01,37
2015-02-01,19
2015-03-01,24
2015-04-01,26
2015-05-01,23
2015-06-01,22
2015-07-01,21
2015-08-01,23
2015-09-01,20
2015-10-01,21
2015-11-01,18
2015-12-01,18
2016-01-01,17
2016-02-01,15
2016-03-01,12
2016-04-01,18
2016-05-01,16
2016-06-01,15
2016-07-01,14
2016-08-01,15
2016-09-01,17
2016-10-01,16
2016-11-01,13
2016-12-01,13
2017-01-01,13
