date,google account settings
2011-01-01,17
2011-02-01,22
2011-03-01,23
2011-04-01,23
2011-05-01,21
2011-06-01,23
2011-07-01,29
2011-08-01,29
2011-09-01,28
2011-10-01,28
2011-11-01,31
2011-12-01,29
2012-01-01,31
2012-02-01,40
2012-03-01,31
2012-04-01,30
2012-05-01,30
2012-06-01,41
2012-07-01,56
2012-08-01,63
2012-09-01,43
2012-10-01,32
2012-11-01,33
2012-12-01,40
2013-01-01,37
2013-02-01,38
2013-03-01,44
2013-04-01,40
2013-05-01,50
2013-06-01,41
2013-07-01,40
2013-08-01,43
2013-09-01,44
2013-10-01,53
2013-11-01,57
2013-12-01,60
2014-01-01,71
2014-02-01,74
2014-03-01,61
2014-04-01,67
2014-05-01,58
2014-06-01,67
2014-07-01,63
2014-08-01,70
2014-09-01,71
2014-10-01,65
2014-11-01,72
2014-12-01,86
2015-01-01,85
2015-02-01,86
2015-03-01,88
2015-04-01,91
2015-05-01,81
2015-06-01,66
2015-07-01,65
2015-08-01,77
2015-09-01,60
2015-10-01,58
2015-11-01,53
2015-12-01,61
2016-01-01,63
2016-02-01,58
2016-03-01,55
2016-04-01,58
2016-05-01,72
2016-06-01,91
2016-07-01,100
2016-08-01,81
2016-09-01,80
2016-10-01,72
2016-11-01,63
2016-12-01,80
2017-01-01,81
