date,how to delete facebook friends fast
2011-01-01,16
2011-02-01,11
2011-03-01,17
2011-04-01,16
2011-05-01,26
2011-06-01,17
2011-07-01,23
2011-08-01,30
2011-09-01,29
2011-10-01,76
2011-11-01,89
2011-12-01,60
2012-01-01,55
2012-02-01,56
2012-03-01,61
2012-04-01,63
2012-05-01,67
2012-06-01,100
2012-07-01,96
2012-08-01,49
2012-09-01,71
2012-10-01,55
2012-11-01,45
2012-12-01,42
2013-01-01,34
2013-02-01,23
2013-03-01,11
2013-04-01,9
2013-05-01,16
2013-06-01,14
2013-07-01,16
2013-08-01,16
2013-09-01,11
2013-10-01,11
2013-11-01,8
2013-12-01,12
2014-01-01,14
2014-02-01,17
2014-03-01,11
2014-04-01,10
2014-05-01,11
2014-06-01,10
2014-07-01,12
2014-08-01,14
2014-09-01,11
2014-10-01,12
2014-11-01,12
2014-12-01,9
2015-01-01,14
2015-02-01,8
2015-03-01,10
2015-04-01,11
2015-05-01,6
2015-06-01,3
2015-07-01,2
2015-08-01,8
2015-09-01,5
2015-10-01,3
2015-11-01,5
2015-12-01,5
2016-01-01,3
2016-02-01,4
2016-03-01,7
2016-04-01,5
2016-05-01,2
2016-06-01,4
2016-07-01,4
2016-08-01,4
2016-09-01,5
2016-10-01,5
2016-11-01,4
2016-12-01,4
2017-01-01,2
