date,facebook logout url
2011-01-01,42
2011-02-01,44
2011-03-01,36
2011-04-01,27
2011-05-01,47
2011-06-01,78
2011-07-01,44
2011-08-01,55
2011-09-01,91
2011-10-01,48
2011-11-01,39
2011-12-01,25
2012-01-01,47
2012-02-01,54
2012-03-01,69
2012-04-01,39
2012-05-01,78
2012-06-01,78
2012-07-01,74
2012-08-01,54
2012-09-01,67
2012-10-01,41
2012-11-01,64
2012-12-01,69
2013-01-01,68
2013-02-01,75
2013-03-01,71
2013-04-01,42
2013-05-01,34
2013-06-01,45
2013-07-01,53
2013-08-01,61
2013-09-01,54
2013-10-01,55
2013-11-01,19
2013-12-01,48
2014-01-01,20
2014-02-01,33
2014-03-01,30
2014-04-01,33
2014-05-01,29
2014-06-01,30
2014-07-01,100
2014-08-01,18
2014-09-01,22
2014-10-01,18
2014-11-01,50
2014-12-01,27
2015-01-01,42
2015-02-01,31
2015-03-01,25
2015-04-01,27
2015-05-01,47
2015-06-01,31
2015-07-01,32
2015-08-01,32
2015-09-01,22
2015-10-01,51
2015-11-01,32
2015-12-01,16
2016-01-01,28
2016-02-01,20
2016-03-01,27
2016-04-01,28
2016-05-01,30
2016-06-01,58
2016-07-01,23
2016-08-01,23
2016-09-01,44
2016-10-01,31
2016-11-01,37
2016-12-01,51
2017-01-01,51
