date,instagram login with facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,2
2011-10-01,2
2011-11-01,1
2011-12-01,1
2012-01-01,1
2012-02-01,1
2012-03-01,1
2012-04-01,2
2012-05-01,3
2012-06-01,6
2012-07-01,5
2012-08-01,5
2012-09-01,7
2012-10-01,6
2012-11-01,6
2012-12-01,8
2013-01-01,7
2013-02-01,8
2013-03-01,11
2013-04-01,12
2013-05-01,9
2013-06-01,11
2013-07-01,12
2013-08-01,13
2013-09-01,10
2013-10-01,8
2013-11-01,9
2013-12-01,12
2014-01-01,12
2014-02-01,16
2014-03-01,15
2014-04-01,23
2014-05-01,23
2014-06-01,21
2014-07-01,35
2014-08-01,42
2014-09-01,27
2014-10-01,27
2014-11-01,26
2014-12-01,26
2015-01-01,28
2015-02-01,37
2015-03-01,32
2015-04-01,30
2015-05-01,29
2015-06-01,34
2015-07-01,41
2015-08-01,42
2015-09-01,48
2015-10-01,53
2015-11-01,61
2015-12-01,74
2016-01-01,66
2016-02-01,70
2016-03-01,70
2016-04-01,64
2016-05-01,62
2016-06-01,62
2016-07-01,58
2016-08-01,68
2016-09-01,73
2016-10-01,84
2016-11-01,87
2016-12-01,95
2017-01-01,100
