date,verisign trust seal
2011-01-01,72
2011-02-01,70
2011-03-01,100
2011-04-01,39
2011-05-01,58
2011-06-01,65
2011-07-01,43
2011-08-01,60
2011-09-01,44
2011-10-01,84
2011-11-01,38
2011-12-01,51
2012-01-01,77
2012-02-01,79
2012-03-01,25
2012-04-01,39
2012-05-01,28
2012-06-01,21
2012-07-01,21
2012-08-01,16
2012-09-01,49
2012-10-01,11
2012-11-01,19
2012-12-01,19
2013-01-01,10
2013-02-01,19
2013-03-01,23
2013-04-01,15
2013-05-01,30
2013-06-01,17
2013-07-01,17
2013-08-01,15
2013-09-01,15
2013-10-01,9
2013-11-01,9
2013-12-01,9
2014-01-01,31
2014-02-01,10
2014-03-01,9
2014-04-01,18
2014-05-01,9
2014-06-01,9
2014-07-01,9
2014-08-01,10
2014-09-01,14
2014-10-01,27
2014-11-01,18
2014-12-01,8
2015-01-01,8
2015-02-01,9
2015-03-01,12
2015-04-01,12
2015-05-01,12
2015-06-01,8
2015-07-01,8
2015-08-01,8
2015-09-01,16
2015-10-01,8
2015-11-01,8
2015-12-01,8
2016-01-01,8
2016-02-01,19
2016-03-01,10
2016-04-01,10
2016-05-01,10
2016-06-01,15
2016-07-01,7
2016-08-01,7
2016-09-01,7
2016-10-01,7
2016-11-01,7
2016-12-01,7
2017-01-01,0
