date,how to make tagged photos private on facebook
2011-01-01,16
2011-02-01,12
2011-03-01,8
2011-04-01,8
2011-05-01,15
2011-06-01,11
2011-07-01,10
2011-08-01,7
2011-09-01,66
2011-10-01,67
2011-11-01,70
2011-12-01,73
2012-01-01,67
2012-02-01,62
2012-03-01,70
2012-04-01,71
2012-05-01,78
2012-06-01,78
2012-07-01,64
2012-08-01,94
2012-09-01,100
2012-10-01,76
2012-11-01,54
2012-12-01,54
2013-01-01,47
2013-02-01,42
2013-03-01,48
2013-04-01,38
2013-05-01,55
2013-06-01,33
2013-07-01,42
2013-08-01,51
2013-09-01,57
2013-10-01,43
2013-11-01,33
2013-12-01,37
2014-01-01,42
2014-02-01,36
2014-03-01,23
2014-04-01,18
2014-05-01,22
2014-06-01,22
2014-07-01,14
2014-08-01,14
2014-09-01,23
2014-10-01,10
2014-11-01,11
2014-12-01,13
2015-01-01,4
2015-02-01,10
2015-03-01,13
2015-04-01,12
2015-05-01,11
2015-06-01,14
2015-07-01,8
2015-08-01,18
2015-09-01,14
2015-10-01,18
2015-11-01,17
2015-12-01,17
2016-01-01,15
2016-02-01,14
2016-03-01,13
2016-04-01,4
2016-05-01,13
2016-06-01,9
2016-07-01,12
2016-08-01,14
2016-09-01,19
2016-10-01,12
2016-11-01,6
2016-12-01,12
2017-01-01,11
