date,online privacy issues
2011-01-01,39
2011-02-01,79
2011-03-01,67
2011-04-01,88
2011-05-01,52
2011-06-01,81
2011-07-01,46
2011-08-01,65
2011-09-01,66
2011-10-01,96
2011-11-01,94
2011-12-01,59
2012-01-01,51
2012-02-01,91
2012-03-01,86
2012-04-01,87
2012-05-01,49
2012-06-01,48
2012-07-01,50
2012-08-01,41
2012-09-01,84
2012-10-01,53
2012-11-01,85
2012-12-01,51
2013-01-01,48
2013-02-01,43
2013-03-01,95
2013-04-01,75
2013-05-01,77
2013-06-01,41
2013-07-01,57
2013-08-01,42
2013-09-01,30
2013-10-01,87
2013-11-01,100
2013-12-01,34
2014-01-01,52
2014-02-01,72
2014-03-01,79
2014-04-01,87
2014-05-01,47
2014-06-01,57
2014-07-01,44
2014-08-01,23
2014-09-01,60
2014-10-01,92
2014-11-01,73
2014-12-01,57
2015-01-01,51
2015-02-01,47
2015-03-01,66
2015-04-01,70
2015-05-01,49
2015-06-01,56
2015-07-01,37
2015-08-01,37
2015-09-01,59
2015-10-01,67
2015-11-01,65
2015-12-01,21
2016-01-01,37
2016-02-01,60
2016-03-01,64
2016-04-01,63
2016-05-01,46
2016-06-01,31
2016-07-01,21
2016-08-01,25
2016-09-01,30
2016-10-01,43
2016-11-01,54
2016-12-01,34
2017-01-01,27
