date,how to block people from seeing tagged photos on facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,18
2011-08-01,17
2011-09-01,41
2011-10-01,100
2011-11-01,47
2011-12-01,23
2012-01-01,49
2012-02-01,44
2012-03-01,21
2012-04-01,22
2012-05-01,34
2012-06-01,28
2012-07-01,41
2012-08-01,47
2012-09-01,60
2012-10-01,24
2012-11-01,13
2012-12-01,37
2013-01-01,28
2013-02-01,69
2013-03-01,17
2013-04-01,28
2013-05-01,22
2013-06-01,17
2013-07-01,22
2013-08-01,11
2013-09-01,13
2013-10-01,15
2013-11-01,16
2013-12-01,10
2014-01-01,14
2014-02-01,11
2014-03-01,10
2014-04-01,30
2014-05-01,11
2014-06-01,11
2014-07-01,16
2014-08-01,11
2014-09-01,10
2014-10-01,13
2014-11-01,17
2014-12-01,20
2015-01-01,9
2015-02-01,9
2015-03-01,9
2015-04-01,11
2015-05-01,14
2015-06-01,9
2015-07-01,9
2015-08-01,9
2015-09-01,8
2015-10-01,8
2015-11-01,8
2015-12-01,8
2016-01-01,8
2016-02-01,11
2016-03-01,13
2016-04-01,16
2016-05-01,8
2016-06-01,8
2016-07-01,8
2016-08-01,8
2016-09-01,7
2016-10-01,7
2016-11-01,7
2016-12-01,8
2017-01-01,7
