date,facebook tagged photos privacy
2011-01-01,23
2011-02-01,13
2011-03-01,13
2011-04-01,31
2011-05-01,12
2011-06-01,26
2011-07-01,13
2011-08-01,31
2011-09-01,98
2011-10-01,100
2011-11-01,86
2011-12-01,96
2012-01-01,74
2012-02-01,70
2012-03-01,72
2012-04-01,63
2012-05-01,73
2012-06-01,77
2012-07-01,62
2012-08-01,59
2012-09-01,65
2012-10-01,25
2012-11-01,30
2012-12-01,39
2013-01-01,46
2013-02-01,34
2013-03-01,21
2013-04-01,31
2013-05-01,26
2013-06-01,32
2013-07-01,39
2013-08-01,23
2013-09-01,33
2013-10-01,22
2013-11-01,21
2013-12-01,24
2014-01-01,23
2014-02-01,17
2014-03-01,17
2014-04-01,24
2014-05-01,14
2014-06-01,15
2014-07-01,24
2014-08-01,26
2014-09-01,14
2014-10-01,17
2014-11-01,10
2014-12-01,15
2015-01-01,19
2015-02-01,10
2015-03-01,12
2015-04-01,20
2015-05-01,17
2015-06-01,18
2015-07-01,19
2015-08-01,16
2015-09-01,12
2015-10-01,17
2015-11-01,16
2015-12-01,10
2016-01-01,11
2016-02-01,10
2016-03-01,9
2016-04-01,15
2016-05-01,11
2016-06-01,13
2016-07-01,18
2016-08-01,13
2016-09-01,10
2016-10-01,14
2016-11-01,12
2016-12-01,10
2017-01-01,12
