date,internet privacy essay
2011-01-01,36
2011-02-01,38
2011-03-01,30
2011-04-01,37
2011-05-01,57
2011-06-01,23
2011-07-01,22
2011-08-01,22
2011-09-01,22
2011-10-01,41
2011-11-01,55
2011-12-01,40
2012-01-01,25
2012-02-01,39
2012-03-01,48
2012-04-01,70
2012-05-01,30
2012-06-01,37
2012-07-01,18
2012-08-01,18
2012-09-01,35
2012-10-01,16
2012-11-01,54
2012-12-01,33
2013-01-01,15
2013-02-01,27
2013-03-01,29
2013-04-01,59
2013-05-01,53
2013-06-01,25
2013-07-01,14
2013-08-01,43
2013-09-01,38
2013-10-01,54
2013-11-01,68
2013-12-01,28
2014-01-01,51
2014-02-01,42
2014-03-01,71
2014-04-01,69
2014-05-01,48
2014-06-01,59
2014-07-01,38
2014-08-01,33
2014-09-01,63
2014-10-01,39
2014-11-01,61
2014-12-01,100
2015-01-01,36
2015-02-01,26
2015-03-01,84
2015-04-01,53
2015-05-01,56
2015-06-01,41
2015-07-01,24
2015-08-01,30
2015-09-01,19
2015-10-01,59
2015-11-01,53
2015-12-01,23
2016-01-01,22
2016-02-01,25
2016-03-01,30
2016-04-01,52
2016-05-01,41
2016-06-01,14
2016-07-01,28
2016-08-01,24
2016-09-01,48
2016-10-01,59
2016-11-01,52
2016-12-01,46
2017-01-01,71
