date,how to hide friends list in facebook
2011-01-01,41
2011-02-01,24
2011-03-01,35
2011-04-01,53
2011-05-01,38
2011-06-01,61
2011-07-01,57
2011-08-01,71
2011-09-01,100
2011-10-01,69
2011-11-01,54
2011-12-01,77
2012-01-01,68
2012-02-01,56
2012-03-01,52
2012-04-01,37
2012-05-01,36
2012-06-01,38
2012-07-01,39
2012-08-01,62
2012-09-01,66
2012-10-01,40
2012-11-01,43
2012-12-01,49
2013-01-01,51
2013-02-01,42
2013-03-01,43
2013-04-01,44
2013-05-01,49
2013-06-01,39
2013-07-01,44
2013-08-01,47
2013-09-01,50
2013-10-01,24
2013-11-01,24
2013-12-01,36
2014-01-01,43
2014-02-01,29
2014-03-01,28
2014-04-01,30
2014-05-01,41
2014-06-01,38
2014-07-01,30
2014-08-01,42
2014-09-01,39
2014-10-01,42
2014-11-01,24
2014-12-01,25
2015-01-01,24
2015-02-01,29
2015-03-01,25
2015-04-01,32
2015-05-01,40
2015-06-01,30
2015-07-01,30
2015-08-01,33
2015-09-01,39
2015-10-01,34
2015-11-01,32
2015-12-01,36
2016-01-01,47
2016-02-01,47
2016-03-01,53
2016-04-01,48
2016-05-01,46
2016-06-01,69
2016-07-01,72
2016-08-01,56
2016-09-01,52
2016-10-01,51
2016-11-01,68
2016-12-01,66
2017-01-01,61
