date,fb account
2011-01-01,6
2011-02-01,6
2011-03-01,7
2011-04-01,8
2011-05-01,9
2011-06-01,9
2011-07-01,12
2011-08-01,14
2011-09-01,12
2011-10-01,13
2011-11-01,13
2011-12-01,15
2012-01-01,16
2012-02-01,15
2012-03-01,15
2012-04-01,17
2012-05-01,18
2012-06-01,19
2012-07-01,21
2012-08-01,24
2012-09-01,23
2012-10-01,24
2012-11-01,25
2012-12-01,26
2013-01-01,27
2013-02-01,30
2013-03-01,32
2013-04-01,33
2013-05-01,37
2013-06-01,37
2013-07-01,40
2013-08-01,43
2013-09-01,42
2013-10-01,42
2013-11-01,45
2013-12-01,53
2014-01-01,53
2014-02-01,50
2014-03-01,53
2014-04-01,61
2014-05-01,65
2014-06-01,64
2014-07-01,65
2014-08-01,69
2014-09-01,63
2014-10-01,60
2014-11-01,59
2014-12-01,61
2015-01-01,66
2015-02-01,65
2015-03-01,63
2015-04-01,66
2015-05-01,69
2015-06-01,72
2015-07-01,70
2015-08-01,66
2015-09-01,67
2015-10-01,64
2015-11-01,61
2015-12-01,62
2016-01-01,62
2016-02-01,58
2016-03-01,62
2016-04-01,68
2016-05-01,64
2016-06-01,68
2016-07-01,70
2016-08-01,72
2016-09-01,69
2016-10-01,68
2016-11-01,100
2016-12-01,79
2017-01-01,79
