date,my facebook friends list hide
2011-01-01,45
2011-02-01,59
2011-03-01,53
2011-04-01,60
2011-05-01,67
2011-06-01,74
2011-07-01,89
2011-08-01,100
2011-09-01,95
2011-10-01,64
2011-11-01,65
2011-12-01,76
2012-01-01,65
2012-02-01,49
2012-03-01,47
2012-04-01,50
2012-05-01,47
2012-06-01,58
2012-07-01,53
2012-08-01,71
2012-09-01,67
2012-10-01,56
2012-11-01,50
2012-12-01,64
2013-01-01,77
2013-02-01,68
2013-03-01,45
2013-04-01,45
2013-05-01,50
2013-06-01,65
2013-07-01,38
2013-08-01,60
2013-09-01,66
2013-10-01,53
2013-11-01,51
2013-12-01,44
2014-01-01,62
2014-02-01,61
2014-03-01,53
2014-04-01,54
2014-05-01,48
2014-06-01,67
2014-07-01,68
2014-08-01,77
2014-09-01,57
2014-10-01,42
2014-11-01,62
2014-12-01,62
2015-01-01,66
2015-02-01,57
2015-03-01,58
2015-04-01,54
2015-05-01,56
2015-06-01,66
2015-07-01,63
2015-08-01,61
2015-09-01,61
2015-10-01,87
2015-11-01,69
2015-12-01,57
2016-01-01,66
2016-02-01,61
2016-03-01,71
2016-04-01,81
2016-05-01,74
2016-06-01,68
2016-07-01,83
2016-08-01,88
2016-09-01,77
2016-10-01,60
2016-11-01,67
2016-12-01,89
2017-01-01,79
