date,personal privacy online
2011-01-01,100
2011-02-01,94
2011-03-01,89
2011-04-01,59
2011-05-01,70
2011-06-01,67
2011-07-01,99
2011-08-01,48
2011-09-01,79
2011-10-01,44
2011-11-01,98
2011-12-01,61
2012-01-01,65
2012-02-01,80
2012-03-01,83
2012-04-01,99
2012-05-01,81
2012-06-01,56
2012-07-01,35
2012-08-01,53
2012-09-01,54
2012-10-01,56
2012-11-01,75
2012-12-01,60
2013-01-01,84
2013-02-01,78
2013-03-01,82
2013-04-01,93
2013-05-01,100
2013-06-01,58
2013-07-01,44
2013-08-01,66
2013-09-01,86
2013-10-01,61
2013-11-01,89
2013-12-01,51
2014-01-01,72
2014-02-01,82
2014-03-01,76
2014-04-01,87
2014-05-01,68
2014-06-01,63
2014-07-01,65
2014-08-01,46
2014-09-01,74
2014-10-01,75
2014-11-01,69
2014-12-01,62
2015-01-01,55
2015-02-01,63
2015-03-01,68
2015-04-01,75
2015-05-01,88
2015-06-01,40
2015-07-01,58
2015-08-01,34
2015-09-01,81
2015-10-01,72
2015-11-01,71
2015-12-01,40
2016-01-01,73
2016-02-01,52
2016-03-01,62
2016-04-01,75
2016-05-01,46
2016-06-01,48
2016-07-01,48
2016-08-01,34
2016-09-01,49
2016-10-01,68
2016-11-01,77
2016-12-01,49
2017-01-01,61
