date,facebook hoaxes snopes
2011-01-01,30
2011-02-01,32
2011-03-01,29
2011-04-01,29
2011-05-01,29
2011-06-01,29
2011-07-01,30
2011-08-01,28
2011-09-01,100
2011-10-01,24
2011-11-01,24
2011-12-01,24
2012-01-01,24
2012-02-01,33
2012-03-01,23
2012-04-01,26
2012-05-01,28
2012-06-01,31
2012-07-01,23
2012-08-01,23
2012-09-01,23
2012-10-01,21
2012-11-01,21
2012-12-01,42
2013-01-01,56
2013-02-01,28
2013-03-01,28
2013-04-01,18
2013-05-01,18
2013-06-01,19
2013-07-01,28
2013-08-01,18
2013-09-01,18
2013-10-01,51
2013-11-01,17
2013-12-01,18
2014-01-01,33
2014-02-01,18
2014-03-01,17
2014-04-01,17
2014-05-01,17
2014-06-01,19
2014-07-01,18
2014-08-01,20
2014-09-01,23
2014-10-01,16
2014-11-01,50
2014-12-01,50
2015-01-01,15
2015-02-01,17
2015-03-01,16
2015-04-01,16
2015-05-01,23
2015-06-01,31
2015-07-01,38
2015-08-01,25
2015-09-01,50
2015-10-01,19
2015-11-01,22
2015-12-01,25
2016-01-01,28
2016-02-01,18
2016-03-01,23
2016-04-01,27
2016-05-01,13
2016-06-01,22
2016-07-01,22
2016-08-01,13
2016-09-01,13
2016-10-01,25
2016-11-01,37
2016-12-01,17
2017-01-01,18
