date,facebook app java
2011-01-01,14
2011-02-01,17
2011-03-01,15
2011-04-01,17
2011-05-01,17
2011-06-01,20
2011-07-01,31
2011-08-01,28
2011-09-01,30
2011-10-01,27
2011-11-01,26
2011-12-01,30
2012-01-01,27
2012-02-01,26
2012-03-01,30
2012-04-01,29
2012-05-01,34
2012-06-01,35
2012-07-01,37
2012-08-01,36
2012-09-01,36
2012-10-01,35
2012-11-01,32
2012-12-01,39
2013-01-01,42
2013-02-01,45
2013-03-01,50
2013-04-01,53
2013-05-01,55
2013-06-01,55
2013-07-01,63
2013-08-01,64
2013-09-01,59
2013-10-01,63
2013-11-01,63
2013-12-01,72
2014-01-01,68
2014-02-01,68
2014-03-01,73
2014-04-01,81
2014-05-01,84
2014-06-01,96
2014-07-01,91
2014-08-01,96
2014-09-01,89
2014-10-01,97
2014-11-01,80
2014-12-01,82
2015-01-01,88
2015-02-01,78
2015-03-01,89
2015-04-01,96
2015-05-01,88
2015-06-01,87
2015-07-01,100
2015-08-01,95
2015-09-01,88
2015-10-01,90
2015-11-01,89
2015-12-01,80
2016-01-01,76
2016-02-01,67
2016-03-01,74
2016-04-01,72
2016-05-01,71
2016-06-01,66
2016-07-01,70
2016-08-01,63
2016-09-01,66
2016-10-01,64
2016-11-01,58
2016-12-01,64
2017-01-01,61
