date,limited profile facebook
2011-01-01,99
2011-02-01,91
2011-03-01,87
2011-04-01,92
2011-05-01,97
2011-06-01,96
2011-07-01,100
2011-08-01,89
2011-09-01,72
2011-10-01,51
2011-11-01,48
2011-12-01,45
2012-01-01,44
2012-02-01,38
2012-03-01,34
2012-04-01,37
2012-05-01,38
2012-06-01,48
2012-07-01,45
2012-08-01,42
2012-09-01,46
2012-10-01,38
2012-11-01,39
2012-12-01,37
2013-01-01,35
2013-02-01,32
2013-03-01,28
2013-04-01,25
2013-05-01,32
2013-06-01,29
2013-07-01,30
2013-08-01,31
2013-09-01,26
2013-10-01,26
2013-11-01,25
2013-12-01,26
2014-01-01,29
2014-02-01,24
2014-03-01,24
2014-04-01,24
2014-05-01,27
2014-06-01,24
2014-07-01,30
2014-08-01,29
2014-09-01,28
2014-10-01,22
2014-11-01,19
2014-12-01,23
2015-01-01,22
2015-02-01,21
2015-03-01,24
2015-04-01,22
2015-05-01,22
2015-06-01,22
2015-07-01,26
2015-08-01,27
2015-09-01,23
2015-10-01,23
2015-11-01,19
2015-12-01,22
2016-01-01,24
2016-02-01,22
2016-03-01,25
2016-04-01,21
2016-05-01,20
2016-06-01,23
2016-07-01,25
2016-08-01,21
2016-09-01,20
2016-10-01,20
2016-11-01,21
2016-12-01,19
2017-01-01,19
