date,privacy rights
2011-01-01,73
2011-02-01,86
2011-03-01,99
2011-04-01,100
2011-05-01,92
2011-06-01,71
2011-07-01,67
2011-08-01,68
2011-09-01,84
2011-10-01,85
2011-11-01,86
2011-12-01,69
2012-01-01,78
2012-02-01,97
2012-03-01,99
2012-04-01,96
2012-05-01,83
2012-06-01,65
2012-07-01,59
2012-08-01,60
2012-09-01,80
2012-10-01,87
2012-11-01,82
2012-12-01,63
2013-01-01,68
2013-02-01,78
2013-03-01,80
2013-04-01,88
2013-05-01,85
2013-06-01,73
2013-07-01,59
2013-08-01,64
2013-09-01,76
2013-10-01,91
2013-11-01,81
2013-12-01,71
2014-01-01,69
2014-02-01,88
2014-03-01,88
2014-04-01,87
2014-05-01,84
2014-06-01,63
2014-07-01,56
2014-08-01,57
2014-09-01,80
2014-10-01,89
2014-11-01,75
2014-12-01,63
2015-01-01,66
2015-02-01,75
2015-03-01,79
2015-04-01,76
2015-05-01,67
2015-06-01,55
2015-07-01,50
2015-08-01,52
2015-09-01,70
2015-10-01,75
2015-11-01,66
2015-12-01,60
2016-01-01,62
2016-02-01,76
2016-03-01,85
2016-04-01,89
2016-05-01,94
2016-06-01,53
2016-07-01,46
2016-08-01,55
2016-09-01,69
2016-10-01,71
2016-11-01,66
2016-12-01,55
2017-01-01,58
