date,how to delete smart lists on facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,39
2011-10-01,94
2011-11-01,63
2011-12-01,75
2012-01-01,34
2012-02-01,35
2012-03-01,33
2012-04-01,70
2012-05-01,81
2012-06-01,34
2012-07-01,33
2012-08-01,33
2012-09-01,49
2012-10-01,59
2012-11-01,60
2012-12-01,40
2013-01-01,55
2013-02-01,30
2013-03-01,36
2013-04-01,41
2013-05-01,27
2013-06-01,27
2013-07-01,54
2013-08-01,27
2013-09-01,52
2013-10-01,49
2013-11-01,25
2013-12-01,51
2014-01-01,24
2014-02-01,26
2014-03-01,100
2014-04-01,40
2014-05-01,24
2014-06-01,27
2014-07-01,26
2014-08-01,39
2014-09-01,24
2014-10-01,24
2014-11-01,24
2014-12-01,24
2015-01-01,22
2015-02-01,24
2015-03-01,22
2015-04-01,22
2015-05-01,22
2015-06-01,23
2015-07-01,33
2015-08-01,22
2015-09-01,21
2015-10-01,21
2015-11-01,31
2015-12-01,20
2016-01-01,20
2016-02-01,20
2016-03-01,19
2016-04-01,20
2016-05-01,19
2016-06-01,19
2016-07-01,19
2016-08-01,19
2016-09-01,19
2016-10-01,18
2016-11-01,18
2016-12-01,18
2017-01-01,17
